Name,Winery,Region,Vintage,Rating,RatingsCount,Price
Sauternes (Premier Grand Cru Classé) 1975,Château de Rayne Vigneau,"Sauternes, France",1975,4.7,38,4502
Barsac (Premier Grand Cru Classé) 2001,Château Climens,"Barsac, France",2001,4.6,218,7442
Aszú 6 puttonyos 2007,Royal Tokaji,"Tokaj, Hungary",2007,4.6,133,2590
Ben Ryé Passito di Pantelleria 2014,Donnafugata,"Passito di Pantelleria, Italy",2014,4.5,1945,2200
Sauternes (Premier Grand Cru Classé) 1988,Château Rieussec,"Sauternes, France",1988,4.5,387,3721
Sauternes (Premier Grand Cru Classé) 1990,Château Guiraud,"Sauternes, France",1990,4.5,220,2661
Sauternes (Lur Saluces) 2007,Château de Fargues,"Sauternes, France",2007,4.5,217,4871
Sauternes (Premier Grand Cru Classé) 1975,Château Rieussec,"Sauternes, France",1975,4.5,119,4502
Sauternes (Premier Grand Cru Classé) 2007,Château Suduiraut,"Sauternes, France",2007,4.4,1426,3330
Sauternes (Premier Grand Cru Classé) 2005,Château Guiraud,"Sauternes, France",2005,4.4,1321,3900
Sauternes (Premier Grand Cru Classé) 2010,Château Suduiraut,"Sauternes, France",2010,4.4,1063,1640
Sauternes (Premier Grand Cru Classé) 2009,Château Suduiraut,"Sauternes, France",2009,4.4,979,3930
Sauternes (Premier Grand Cru Classé) 2005,Château Suduiraut,"Sauternes, France",2005,4.4,838,1730
Ben Ryé Passito di Pantelleria 2008,Donnafugata,"Passito di Pantelleria, Italy",2008,4.4,741,2150
Sauternes (Premier Grand Cru Classé) 2011,Château Suduiraut,"Sauternes, France",2011,4.4,708,2920
Tokaji Aszú 5 Puttonyos 2005,Oremus,"Tokaj, Hungary",2005,4.4,427,3800
Sauternes (Lur Saluces) 2005,Château de Fargues,"Sauternes, France",2005,4.4,424,6021
Barsac (Premier Grand Cru Classé) 2007,Château Climens,"Barsac, France",2007,4.4,241,3856
Sauternes Barsac (Premier Grand Cru Classé) 1990,Château Coutet,"Barsac, France",1990,4.4,166,4228
Tokaji Aszú 6 Puttonyos 2008,Gróf Degenfeld,"Tokaj, Hungary",2008,4.4,126,6580
Sauternes (Grand Cru Classé) 1988,Château Filhot,"Sauternes, France",1988,4.4,113,1330
Sauternes (Premier Grand Cru Classé) 1985,Château Lafaurie-Peyraguey,"Sauternes, France",1985,4.4,67,4093
Barsac (Grand Cru Classé) 1983,Château Doisy-Daëne,"Barsac, France",1983,4.4,57,3070
Tokaji Aszú 5 Puttonyos 2013,Tokaj Classic,"Tokaj, Hungary",2013,4.4,48,1800
Sauternes 1983,Chateau Pajot (enclave Yquem),"Sauternes, France",1983,4.4,38,5074
Sauternes (Premier Grand Cru Classé) 1979,Château La Tour Blanche,"Sauternes, France",1979,4.3,5940,2968
Sauternes (Premier Grand Cru Classé) 1964,Château Rabaud-Promis,"Sauternes, France",1964,4.3,3070,6765
Sauternes (Premier Grand Cru Classé) 2010,Château Rieussec,"Sauternes, France",2010,4.3,1613,2030
Sauternes (Premier Grand Cru Classé) 1999,Château Suduiraut,"Sauternes, France",1999,4.3,1371,2600
Tokaji Late Harvest 2017,Oremus,"Tokaj, Hungary",2017,4.3,635,2000
Tokaji Late Harvest 2015,Oremus,"Tokaj, Hungary",2015,4.3,631,1800
Sauternes (Premier Grand Cru Classé) 2006,Château Suduiraut,"Sauternes, France",2006,4.3,560,2860
Sauternes (Premier Grand Cru Classé) 2008,Château Suduiraut,"Sauternes, France",2008,4.3,482,2850
Sauternes (Premier Grand Cru Classé) 2015,Château Suduiraut,"Sauternes, France",2015,4.3,442,1310
