Name,Winery,Region,Vintage,Rating,RatingsCount,Price
Rock Angel Rosé 2021,Château d'Esclans,"Côtes de Provence, France",2021,4.2,621,1350
Volpe Rosa Rosato 2021,Cantina Giardino,"Campania, Italy",2021,4.2,386,1800
Whispering Angel Rosé 2021,Château d'Esclans,"Côtes de Provence, France",2021,4.1,9642,880
Pink Moscato ,Yellow Tail,"South Eastern Australia, Australia",N/A,4.1,5376,380
Whispering Angel Rosé 2022,Château d'Esclans,"Côtes de Provence, France",2022,4.1,3028,900
Rosé 2002,Paraduxx,"Napa Valley, United States",2002,4.1,247,2450
Rosé 2022,Paraduxx,"Napa Valley, United States",2022,4.1,247,1130
Tempranillo Rosado 2019,Pagos de Tahola,"Rioja, Spain",2019,4.1,46,999
Au Fil des Vignes Cabernet d'Anjou 2020,Domaine Les Grandes Vignes - Vaillant,"Cabernet d'Anjou, France",2020,4.1,33,1592
M Rosé 2022,Minuty,"Côtes de Provence, France",2022,4.0,2240,750
Prestige Rosé 2021,Minuty,"Côtes de Provence, France",2021,4.0,1468,900
Lumera 2021,Donnafugata,"Terre Siciliane, Italy",2021,4.0,533,840
Alpes de Haute Provence Rosé 2019,L'Art Provençal,"Alpes-de-Haute-Provence, France",2019,4.0,199,1099
Corail Côtes du Jura 2017,Château d'Arlay,"Côtes du Jura, France",2017,4.0,33,1710
Rosé 2019,Abbesse,"Loire Valley, France",2019,3.9,319,799
Vieilles Vignes Rosé 2019,Moulin de Pontfract,"Var, France",2019,3.9,192,999
Muga Rosado 2006,Muga,"Rioja, Spain",2006,3.8,9703,550
Côtes de Provence Rosé 2019,Château Peyrol,"Côtes de Provence, France",2019,3.8,144,1299
Château La Rosé de France Haut-Médoc 2001,Château Branaire-Ducru,"Haut-Médoc, France",2001,3.8,97,1827
Moscatel Rosado 2018,Hacienda de Lluna,"Valencia, Spain",2018,3.8,77,529
Sonrosado 2020,Pasas,"Jumilla, Spain",2020,3.8,49,460
Chinon Rosé 2022,Charles Joguet,"Chinon, France",2022,3.8,40,1190
Coeur de Franc Rosé 2021,Couly-Dutheil,"Chinon, France",2021,3.8,34,1060
Rosato di Toscana Sbrancato 2021,Tenuta Il Poggione,"Toscana, Italy",2021,3.8,26,585
