"110年06月 1101 台泥             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","9,774,499","502,441,292","51.60","51.60","51.20","51.50","-0.10","4,923",
"110/06/02","22,482,449","1,161,954,262","51.60","52.10","51.40","52.00","+0.50","10,185",
"110/06/03","23,863,470","1,242,256,578","52.00","52.40","51.80","52.30","+0.30","10,596",
"110/06/04","12,355,472","641,443,642","52.30","52.30","51.70","51.90","-0.40","6,843",
"110/06/07","12,370,230","636,060,324","51.90","52.00","50.80","51.50","-0.40","6,835",
"110/06/08","8,763,161","449,962,190","51.80","51.80","51.10","51.40","-0.10","5,009",
"110/06/09","11,685,183","596,022,339","51.10","51.40","50.80","51.30","-0.10","6,534",
"110/06/10","9,323,968","477,156,302","51.30","51.50","50.90","51.50","+0.20","4,307",
"110/06/11","8,545,178","438,820,492","51.50","51.60","51.20","51.40","-0.10","3,943",
"110/06/15","9,340,616","477,995,429","51.10","51.40","51.00","51.30","-0.10","4,670",
"110/06/16","17,406,495","900,092,736","51.40","52.00","51.30","51.90","+0.60","8,587",
"110/06/17","15,211,770","783,838,131","51.60","51.80","51.40","51.50","-0.40","7,280",
"110/06/18","24,209,277","1,236,734,265","51.30","51.40","51.00","51.00","-0.50","9,442",
"110/06/21","20,719,944","1,050,893,361","50.50","51.20","50.40","50.70","-0.30","9,089",
"110/06/22","15,262,032","777,774,454","50.70","51.20","50.60","50.90","+0.20","6,587",
"110/06/23","16,479,092","838,303,576","50.90","51.10","50.50","51.00","+0.10","6,359",
"110/06/24","13,545,751","691,369,731","51.00","51.20","50.80","51.10","+0.10","4,747",
"110/06/25","16,027,596","818,185,461","51.10","51.30","50.80","51.00","-0.10","8,051",
"110/06/28","16,044,822","818,777,694","51.00","51.20","50.80","51.10","+0.10","7,180",
"110/06/29","11,142,372","569,049,268","51.10","51.20","50.90","51.20","+0.10","5,523",
"110/06/30","13,888,581","709,208,377","51.10","51.20","50.90","51.00","-0.20","7,174",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

