"110年05月 1102 亞泥             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","11,829,848","587,379,311","49.75","49.95","49.50","49.60","-0.35","4,783",
"110/05/04","21,282,563","1,039,808,294","49.60","49.90","48.25","48.55","-1.05","8,415",
"110/05/05","11,126,408","548,042,541","48.55","49.80","48.20","49.30","+0.75","4,851",
"110/05/06","15,029,188","752,271,254","49.55","50.50","49.50","50.40","+1.10","5,855",
"110/05/07","8,585,361","429,077,790","50.50","50.70","49.85","50.30","-0.10","3,724",
"110/05/10","11,998,316","608,600,860","50.50","51.00","50.30","50.90","+0.60","4,006",
"110/05/11","23,722,859","1,203,286,942","51.10","51.70","49.80","50.10","-0.80","8,225",
"110/05/12","36,498,880","1,775,109,066","50.10","50.30","47.00","48.55","-1.55","15,495",
"110/05/13","17,384,280","834,540,261","46.80","48.90","46.65","47.95","-0.60","7,179",
"110/05/14","14,704,057","720,623,983","48.50","49.50","48.50","49.00","+1.05","5,876",
"110/05/17","15,063,624","722,991,397","47.85","48.75","47.05","48.45","-0.55","6,390",
"110/05/18","14,450,270","710,982,022","48.50","49.95","48.45","49.95","+1.50","6,178",
"110/05/19","10,449,727","518,017,045","49.20","49.95","49.00","49.85","-0.10","5,242",
"110/05/20","10,116,913","505,548,733","49.80","50.40","49.50","50.10","+0.25","4,427",
"110/05/21","17,140,497","883,820,108","54.00","54.00","50.10","50.60","+0.50","5,938",
"110/05/24","5,845,275","289,796,848","50.00","50.70","49.95","50.30","-0.30","2,615",
"110/05/25","7,042,707","354,288,420","50.40","50.70","50.10","50.30"," 0.00","3,282",
"110/05/26","7,280,680","364,009,033","50.30","50.30","49.80","50.10","-0.20","3,454",
"110/05/27","10,902,835","547,108,804","50.00","50.60","49.80","50.20","+0.10","3,182",
"110/05/28","12,359,703","620,735,793","50.80","50.80","49.90","50.40","+0.20","3,420",
"110/05/31","21,653,465","1,116,119,156","50.60","52.40","50.40","51.90","+1.50","7,874",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

