"110年05月 1301 台塑             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","13,719,216","1,477,143,958","106.00","109.00","106.00","107.50","+1.50","6,358",
"110/05/04","23,705,224","2,566,340,729","109.00","110.50","106.00","107.00","-0.50","7,270",
"110/05/05","11,285,638","1,224,154,903","107.50","109.50","107.00","108.00","+1.00","4,677",
"110/05/06","30,557,688","3,418,657,673","108.00","113.00","108.00","113.00","+5.00","14,215",
"110/05/07","44,451,123","4,726,059,179","112.00","112.50","103.00","105.00","-8.00","18,068",
"110/05/10","13,212,401","1,395,074,495","105.50","107.00","104.50","106.00","+1.00","6,496",
"110/05/11","19,849,073","2,034,378,903","104.00","105.00","100.50","102.50","-3.50","8,696",
"110/05/12","28,087,089","2,723,447,343","102.50","102.50","92.30","95.70","-6.80","13,010",
"110/05/13","15,177,247","1,436,804,318","94.00","96.30","91.20","94.30","-1.40","9,057",
"110/05/14","12,224,197","1,157,304,067","94.50","97.70","93.40","95.50","+1.20","5,512",
"110/05/17","15,165,527","1,421,697,718","93.30","94.90","92.50","93.40","-2.10","5,851",
"110/05/18","10,335,620","1,002,143,075","92.90","98.40","92.80","97.90","+4.50","5,229",
"110/05/19","7,989,198","787,579,471","96.30","99.70","96.00","98.50","+0.60","5,101",
"110/05/20","9,756,450","944,460,994","97.10","98.40","96.00","96.80","-1.70","5,398",
"110/05/21","6,506,952","638,064,046","97.30","99.50","96.50","98.10","+1.30","3,574",
"110/05/24","5,699,516","564,097,772","97.90","99.50","97.00","98.90","+0.80","2,945",
"110/05/25","12,470,874","1,274,282,462","99.20","103.50","99.10","102.50","+3.60","6,094",
"110/05/26","4,855,261","490,628,643","102.00","102.50","100.00","101.50","-1.00","3,359",
"110/05/27","11,128,321","1,122,609,076","102.00","102.00","100.00","101.00","-0.50","2,578",
"110/05/28","8,138,225","823,565,269","101.50","102.00","100.50","101.50","+0.50","3,740",
"110/05/31","10,860,933","1,117,889,210","101.50","104.50","101.50","103.50","+2.00","7,236",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

