"110年07月 1326 台化             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/07/01","6,844,101","582,909,866","84.20","85.90","84.10","85.00","+0.30","3,778",
"110/07/02","10,673,880","922,116,209","85.80","87.40","85.10","85.10","+0.10","5,238",
"110/07/05","6,103,748","526,090,415","86.30","86.80","85.60","86.50","+1.40","3,001",
"110/07/06","4,976,201","431,910,964","87.20","87.30","86.40","86.80","+0.30","2,474",
"110/07/07","4,256,429","365,803,337","86.80","86.90","85.60","85.80","-1.00","2,226",
"110/07/08","3,632,062","311,373,233","86.00","86.70","85.40","85.60","-0.20","1,869",
"110/07/09","6,893,059","583,024,958","84.60","85.50","84.20","85.10","-0.50","3,634",
"110/07/12","4,270,853","363,930,649","85.90","85.90","84.60","85.00","-0.10","2,209",
"110/07/13","3,498,346","298,090,514","85.70","85.70","84.90","85.40","+0.40","1,629",
"110/07/14","3,642,093","312,014,468","85.70","85.90","85.20","85.90","+0.50","1,965",
"110/07/15","4,395,410","375,096,678","85.50","85.70","85.20","85.30","-0.60","2,335",
"110/07/16","2,473,306","211,438,488","85.30","85.80","85.20","85.70","+0.40","1,264",
"110/07/19","4,637,605","392,730,488","84.90","85.20","84.30","85.00","-0.70","2,138",
"110/07/20","6,422,060","536,624,011","84.10","84.40","83.20","83.30","-1.70","4,373",
"110/07/21","4,750,638","394,073,046","83.40","83.60","82.60","82.90","-0.40","3,299",
"110/07/22","3,632,227","305,078,616","83.20","84.30","83.20","84.20","+1.30","1,888",
"110/07/23","3,095,720","261,842,023","84.40","85.00","84.20","84.20"," 0.00","1,562",
"110/07/26","6,860,303","573,399,594","84.40","84.50","83.20","83.20","-1.00","3,289",
"110/07/27","6,911,569","558,767,310","80.70","81.50","80.60","80.60","X0.00","4,439",
"110/07/28","8,119,950","653,655,272","80.60","81.40","79.70","81.20","+0.60","4,342",
"110/07/29","2,974,511","243,053,489","81.20","82.10","81.20","81.90","+0.70","1,482",
"110/07/30","3,905,040","321,894,777","82.00","82.90","81.80","82.20","+0.30","2,054",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

