"110年07月 1590 亞德客-KY        各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/07/01","764,354","848,779,165","1,105.00","1,145.00","1,080.00","1,100.00","+25.00","632",
"110/07/02","789,087","911,679,140","1,125.00","1,180.00","1,125.00","1,160.00","+60.00","921",
"110/07/05","307,480","354,283,420","1,150.00","1,170.00","1,130.00","1,165.00","+5.00","377",
"110/07/06","754,313","869,766,885","1,170.00","1,175.00","1,140.00","1,150.00","-15.00","534",
"110/07/07","739,513","828,134,405","1,135.00","1,150.00","1,105.00","1,130.00","-20.00","728",
"110/07/08","602,333","661,670,193","1,125.00","1,140.00","1,080.00","1,090.00","-40.00","626",
"110/07/09","514,207","550,127,805","1,080.00","1,090.00","1,045.00","1,080.00","-10.00","541",
"110/07/12","436,425","487,590,865","1,110.00","1,145.00","1,095.00","1,110.00","+30.00","485",
"110/07/13","622,405","682,258,445","1,130.00","1,145.00","1,065.00","1,110.00"," 0.00","657",
"110/07/14","346,463","371,788,955","1,115.00","1,115.00","1,060.00","1,065.00","-45.00","403",
"110/07/15","346,331","376,187,715","1,080.00","1,105.00","1,070.00","1,090.00","+25.00","363",
"110/07/16","295,799","319,416,330","1,075.00","1,110.00","1,065.00","1,080.00","-10.00","380",
"110/07/19","571,268","628,401,420","1,065.00","1,140.00","1,065.00","1,115.00","+35.00","532",
"110/07/20","373,132","412,241,880","1,110.00","1,135.00","1,080.00","1,085.00","-30.00","408",
"110/07/21","833,353","953,800,795","1,110.00","1,165.00","1,105.00","1,160.00","+75.00","889",
"110/07/22","1,152,320","1,280,115,360","1,165.00","1,170.00","1,085.00","1,095.00","-65.00","1,156",
"110/07/23","1,120,469","1,163,212,735","1,085.00","1,085.00","1,010.00","1,020.00","-75.00","1,380",
"110/07/26","1,368,323","1,332,903,370","1,015.00","1,015.00","963.00","967.00","-53.00","1,819",
"110/07/27","1,232,280","1,182,303,262","973.00","985.00","933.00","939.00","-28.00","1,529",
"110/07/28","1,517,055","1,384,032,066","925.00","940.00","891.00","922.00","-17.00","1,539",
"110/07/29","1,384,836","1,298,639,897","923.00","955.00","923.00","937.00","+15.00","1,143",
"110/07/30","1,444,315","1,309,308,322","914.00","926.00","892.00","899.00","-38.00","1,637",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

