"110年06月 2002 中鋼             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","191,210,116","7,068,863,350","37.40","37.70","36.20","37.35","+0.40","60,613",
"110/06/02","510,200,107","19,792,597,056","37.90","39.80","37.30","39.50","+2.15","157,571",
"110/06/03","322,183,566","12,600,694,516","39.75","39.85","38.60","38.80","-0.70","95,755",
"110/06/04","172,869,870","6,673,868,307","38.50","39.40","38.00","38.05","-0.75","60,158",
"110/06/07","186,879,281","6,985,811,559","38.40","38.55","36.20","37.30","-0.75","61,694",
"110/06/08","95,059,305","3,554,966,404","37.20","38.00","37.10","37.20","-0.10","30,293",
"110/06/09","228,299,365","8,245,836,083","37.05","37.35","35.30","36.10","-1.10","79,340",
"110/06/10","178,092,426","6,364,270,330","36.10","36.55","35.05","36.15","+0.05","54,064",
"110/06/11","152,766,032","5,554,450,942","36.40","37.10","35.80","36.15"," 0.00","45,089",
"110/06/15","171,242,414","6,115,214,475","36.15","36.30","35.35","35.85","-0.30","54,681",
"110/06/16","143,531,767","5,163,912,069","35.70","36.65","35.45","35.50","-0.35","47,367",
"110/06/17","127,653,186","4,546,136,456","35.05","36.30","35.05","35.45","-0.05","39,926",
"110/06/18","157,041,761","5,567,400,766","35.80","35.95","35.00","35.00","-0.45","42,670",
"110/06/21","147,587,971","5,078,571,117","35.00","35.20","34.00","34.30","-0.70","57,248",
"110/06/22","312,181,508","11,247,457,989","34.95","37.00","34.80","36.15","+1.85","95,446",
"110/06/23","178,862,303","6,408,350,505","36.55","36.85","35.10","35.40","-0.75","54,452",
"110/06/24","102,941,515","3,704,694,338","35.80","36.40","35.65","35.80","+0.40","29,649",
"110/06/25","102,827,719","3,720,961,722","36.80","36.85","35.70","35.75","-0.05","34,892",
"110/06/28","297,852,055","10,982,728,653","36.10","37.75","36.00","37.45","+1.70","96,996",
"110/06/29","415,486,720","15,779,287,038","37.65","38.80","37.10","37.75","+0.30","135,988",
"110/06/30","643,189,465","25,449,201,360","38.50","40.70","38.40","39.60","+1.85","215,559",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

