"110年06月 2207 和泰車           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","96,418","54,473,193","567.00","571.00","562.00","565.00","-5.00","192",
"110/06/02","234,501","132,957,745","565.00","578.00","557.00","574.00","+9.00","353",
"110/06/03","113,540","65,057,447","580.00","580.00","567.00","576.00","+2.00","187",
"110/06/04","154,293","87,301,562","565.00","570.00","560.00","568.00","-8.00","216",
"110/06/07","128,911","72,262,487","572.00","572.00","556.00","560.00","-8.00","274",
"110/06/08","244,123","139,566,621","571.00","575.00","565.00","575.00","+15.00","302",
"110/06/09","158,815","90,646,820","577.00","577.00","566.00","568.00","-7.00","212",
"110/06/10","175,008","101,037,735","566.00","582.00","566.00","576.00","+8.00","227",
"110/06/11","98,527","57,115,898","576.00","582.00","573.00","581.00","+5.00","169",
"110/06/15","87,301","50,710,815","585.00","585.00","576.00","583.00","+2.00","288",
"110/06/16","346,037","204,469,705","579.00","595.00","579.00","592.00","+9.00","482",
"110/06/17","254,112","147,431,898","583.00","586.00","576.00","581.00","-11.00","409",
"110/06/18","361,009","208,053,498","577.00","584.00","574.00","576.00","-5.00","295",
"110/06/21","312,500","177,033,437","580.00","580.00","560.00","571.00","-5.00","515",
"110/06/22","219,687","126,670,166","579.00","580.00","573.00","574.00","+3.00","320",
"110/06/23","908,286","543,146,141","579.00","611.00","578.00","608.00","+34.00","1,263",
"110/06/24","304,770","185,509,298","614.00","615.00","604.00","605.00","-3.00","497",
"110/06/25","501,069","310,775,299","611.00","625.00","610.00","619.00","+14.00","884",
"110/06/28","225,988","139,082,471","623.00","624.00","609.00","609.00","-10.00","435",
"110/06/29","318,542","194,209,087","609.00","617.00","602.00","611.00","+2.00","822",
"110/06/30","213,215","130,403,687","617.00","617.00","608.00","614.00","+3.00","277",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

