"110年05月 2303 聯電             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","323,558,912","17,474,975,249","55.00","55.40","52.80","53.00","-3.70","133,204",
"110/05/04","346,875,599","18,446,060,064","53.10","55.10","51.00","54.60","+1.60","130,607",
"110/05/05","208,373,802","11,069,938,510","54.60","54.80","51.80","51.80","-2.80","81,070",
"110/05/06","171,739,001","8,888,142,190","52.10","52.90","50.60","51.30","-0.50","64,639",
"110/05/07","170,031,294","9,110,027,409","52.70","54.10","52.60","54.00","+2.70","64,826",
"110/05/10","118,082,387","6,274,584,539","54.20","54.20","52.50","52.50","-1.50","47,233",
"110/05/11","284,651,875","14,132,044,781","50.00","50.80","48.05","49.00","-3.50","119,998",
"110/05/12","355,398,866","16,591,640,079","48.40","49.70","44.10","46.35","-2.65","132,661",
"110/05/13","325,343,998","15,300,475,389","44.85","48.85","44.45","47.55","+1.20","112,071",
"110/05/14","235,494,255","11,329,316,812","48.80","49.65","46.65","46.80","-0.75","85,723",
"110/05/17","231,958,428","10,379,308,325","43.80","46.65","43.05","43.95","-2.85","82,587",
"110/05/18","280,228,999","13,351,727,305","46.25","48.30","46.00","48.30","+4.35","76,531",
"110/05/19","211,964,090","10,266,935,609","48.35","49.20","47.50","48.30"," 0.00","76,279",
"110/05/20","173,152,554","8,158,231,813","47.50","48.00","46.45","46.50","-1.80","64,858",
"110/05/21","146,240,160","6,927,587,864","47.75","48.20","46.85","46.95","+0.45","45,128",
"110/05/24","160,119,346","7,678,694,424","46.60","49.00","46.35","48.70","+1.75","53,979",
"110/05/25","385,084,250","19,814,678,848","50.20","53.00","49.90","51.90","+3.20","128,888",
"110/05/26","241,846,803","12,615,936,863","52.30","53.50","51.10","51.30","-0.60","87,237",
"110/05/27","167,118,586","8,474,206,889","50.70","51.70","50.00","50.60","-0.70","51,445",
"110/05/28","216,934,422","11,353,403,574","52.10","53.00","51.60","52.40","+1.80","76,958",
"110/05/31","199,782,391","10,529,680,882","52.90","53.50","51.90","53.00","+0.60","66,441",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

