"110年05月 2327 國巨             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","7,143,849","3,780,027,795","542.00","543.00","522.00","522.00","-21.00","10,328",
"110/05/04","10,824,148","5,486,720,892","523.00","528.00","490.00","503.00","-19.00","12,027",
"110/05/05","6,032,338","3,018,561,777","506.00","513.00","490.00","490.50","-12.50","8,232",
"110/05/06","6,002,608","3,000,219,036","500.00","508.00","493.50","501.00","+10.50","6,245",
"110/05/07","9,404,794","4,934,852,900","507.00","535.00","505.00","535.00","+34.00","9,538",
"110/05/10","7,568,342","3,948,153,558","539.00","540.00","511.00","511.00","-24.00","8,216",
"110/05/11","17,146,265","8,183,326,063","492.00","496.00","460.50","469.00","-42.00","19,944",
"110/05/12","22,304,585","9,770,703,711","469.00","469.00","422.50","423.00","-46.00","21,739",
"110/05/13","17,606,975","7,270,451,338","404.00","428.00","393.50","409.50","-13.50","15,842",
"110/05/14","18,905,375","8,385,858,899","438.00","450.00","432.00","440.00","+30.50","15,276",
"110/05/17","14,800,765","6,236,254,504","420.50","440.00","402.00","415.50","-24.50","14,079",
"110/05/18","13,719,420","6,046,600,102","435.00","449.00","428.50","449.00","+33.50","11,770",
"110/05/19","8,983,803","3,977,691,616","443.50","452.00","436.50","442.50","-6.50","8,786",
"110/05/20","7,291,950","3,247,961,812","446.00","451.50","440.50","443.50","+1.00","6,320",
"110/05/21","11,523,776","5,389,098,547","487.00","487.00","457.00","458.50","+15.00","10,226",
"110/05/24","5,569,273","2,544,052,687","449.00","466.50","445.00","463.50","+5.00","5,724",
"110/05/25","9,080,430","4,327,785,311","472.00","483.00","468.00","479.00","+15.50","8,927",
"110/05/26","5,917,477","2,837,300,777","482.00","486.50","474.00","481.00","+2.00","5,931",
"110/05/27","5,347,812","2,560,729,628","477.00","483.50","474.50","478.50","-2.50","4,429",
"110/05/28","7,489,725","3,674,209,402","487.00","494.00","483.50","490.00","+11.50","7,321",
"110/05/31","8,491,130","4,277,672,253","501.00","511.00","498.50","505.00","+15.00","7,993",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

