110年06月 2327 國巨             各日成交資訊,,,,,,,,
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/06/01,"5,334,060","2,683,271,268",510,510,499,500,-5,"5,733"
110/06/02,"6,948,718","3,408,703,071",500,501,483.5,486,-14,"8,524"
110/06/03,"3,588,727","1,765,874,237",489.5,496.5,486,494.5,8.5,"3,735"
110/06/04,"4,942,519","2,407,920,387",484.5,492,482.5,491,-3.5,"4,559"
110/06/07,"6,725,219","3,221,199,166",488,489.5,471.5,477.5,-13.5,"7,428"
110/06/08,"7,190,664","3,536,284,992",485.5,497.5,485.5,497.5,20,"7,000"
110/06/09,"4,354,265","2,156,721,055",496.5,502,491,496,-1.5,"4,699"
110/06/10,"3,562,362","1,778,322,822",500,504,496,500,4,"3,835"
110/06/11,"2,690,918","1,339,387,489",501,503,494,494,-6,"3,106"
110/06/15,"14,987,017","7,726,032,521",494,525,494,523,29,"13,469"
110/06/16,"12,340,929","6,505,960,047",523,536,516,531,8,"11,350"
110/06/17,"16,994,162","9,230,643,945",529,552,525,545,14,"15,935"
110/06/18,"8,261,276","4,507,559,424",550,555,540,540,-5,"8,045"
110/06/21,"7,141,238","3,770,332,359",531,536,522,527,-13,"7,423"
110/06/22,"5,693,801","3,003,977,871",536,538,522,525,-2,"5,090"
110/06/23,"4,247,724","2,262,993,411",531,537,528,534,9,"3,999"
110/06/24,"3,023,997","1,614,494,212",540,542,530,530,-4,"3,228"
110/06/25,"5,457,611","2,940,557,396",535,546,532,535,5,"5,137"
110/06/28,"4,005,549","2,165,794,151",539,545,534,545,10,"4,236"
110/06/29,"13,037,119","7,293,721,246",561,569,551,555,10,"12,026"
110/06/30,0,0,561,569,551,555,0,"12,026"
說明:,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,
