"110年05月 2379 瑞昱             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","2,734,786","1,438,563,636","528.00","539.00","519.00","519.00","-13.00","3,056",
"110/05/04","3,850,274","1,936,013,380","520.00","524.00","490.00","507.00","-12.00","3,864",
"110/05/05","2,568,279","1,296,280,299","508.00","514.00","499.00","499.00","-8.00","2,304",
"110/05/06","3,947,680","1,994,071,316","504.00","521.00","498.50","513.00","+14.00","3,136",
"110/05/07","1,882,210","969,448,255","511.00","520.00","509.00","516.00","+3.00","2,065",
"110/05/10","1,494,652","762,951,838","517.00","521.00","500.00","504.00","-12.00","1,668",
"110/05/11","4,719,723","2,196,775,904","493.00","497.00","454.00","456.00","-48.00","6,045",
"110/05/12","5,765,389","2,510,823,748","455.00","459.00","410.50","436.00","-20.00","5,974",
"110/05/13","5,705,258","2,569,967,790","439.00","462.00","421.00","450.50","+14.50","4,975",
"110/05/14","3,138,491","1,432,045,797","451.00","466.00","449.00","451.50","+1.00","2,889",
"110/05/17","2,517,132","1,116,286,258","440.00","459.50","430.00","439.50","-12.00","2,789",
"110/05/18","3,907,126","1,821,073,754","446.00","481.00","446.00","470.00","+30.50","3,776",
"110/05/19","2,534,862","1,164,498,521","463.00","475.00","453.50","455.50","-14.50","2,755",
"110/05/20","2,044,110","920,796,750","458.50","459.00","445.00","450.00","-5.50","1,924",
"110/05/21","2,250,359","1,015,815,890","460.00","460.00","443.00","451.50","+1.50","2,063",
"110/05/24","1,940,904","873,282,870","450.00","458.50","441.00","452.50","+1.00","1,974",
"110/05/25","3,942,617","1,838,861,101","457.00","474.50","454.00","469.00","+16.50","3,679",
"110/05/26","3,916,872","1,887,880,790","469.00","493.00","465.50","485.50","+16.50","3,913",
"110/05/27","4,874,583","2,372,118,730","484.00","489.50","477.00","489.50","+4.00","2,607",
"110/05/28","2,213,532","1,100,534,139","487.00","502.00","487.00","497.00","+7.50","2,490",
"110/05/31","2,224,033","1,109,470,755","499.00","504.00","490.00","499.00","+2.00","2,054",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

