"110年06月 2382 廣達             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","9,083,486","818,428,395","90.40","90.70","89.80","89.90","+0.20","6,110",
"110/06/02","14,666,308","1,304,104,979","89.90","90.30","88.20","88.40","-1.50","8,980",
"110/06/03","12,673,182","1,112,196,741","88.20","88.60","87.40","87.80","-0.60","8,667",
"110/06/04","8,901,069","775,300,307","87.30","87.50","86.80","87.10","-0.70","5,823",
"110/06/07","8,730,017","756,766,694","87.10","87.20","86.00","87.00","-0.10","4,597",
"110/06/08","7,695,881","668,988,169","87.20","87.70","86.60","86.70","-0.30","4,459",
"110/06/09","15,149,999","1,296,374,347","86.50","86.70","85.10","85.10","-1.60","9,875",
"110/06/10","11,685,068","996,827,839","85.10","86.20","85.00","85.10"," 0.00","6,255",
"110/06/11","7,623,619","655,584,766","85.30","86.40","85.20","86.00","+0.90","3,812",
"110/06/15","11,879,535","1,035,352,687","86.70","87.80","86.30","87.10","+1.10","6,005",
"110/06/16","12,962,370","1,140,032,549","87.10","88.30","87.00","88.30","+1.20","7,571",
"110/06/17","13,638,623","1,191,086,950","87.50","87.80","86.70","87.60","-0.70","7,751",
"110/06/18","13,643,334","1,189,338,187","87.70","87.80","87.00","87.00","-0.60","4,984",
"110/06/21","9,566,797","833,857,636","87.00","87.60","86.50","87.10","+0.10","4,755",
"110/06/22","16,602,957","1,432,908,390","87.00","87.20","85.70","86.20","-0.90","8,284",
"110/06/23","10,363,576","900,967,354","86.20","87.40","86.20","87.00","+0.80","5,863",
"110/06/24","13,207,462","1,145,291,497","87.00","87.30","86.30","86.80","-0.20","6,432",
"110/06/25","9,910,494","865,092,818","86.60","87.80","86.50","87.30","+0.50","5,341",
"110/06/28","7,124,430","623,642,256","87.50","87.80","87.00","87.70","+0.40","4,709",
"110/06/29","8,384,419","729,956,560","87.90","88.00","86.60","86.90","-0.80","4,790",
"110/06/30","7,895,005","691,077,339","87.20","87.80","87.10","87.50","+0.60","3,913",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

