"110年06月 2408 南亞科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","15,322,893","1,261,810,762","82.40","84.00","81.20","81.30","-0.60","8,854",
"110/06/02","10,489,494","853,140,573","82.30","82.80","80.10","81.60","+0.30","5,736",
"110/06/03","19,272,126","1,606,416,685","82.00","84.50","81.80","83.60","+2.00","10,162",
"110/06/04","23,036,006","1,902,629,552","84.60","84.60","81.80","82.20","-1.40","12,086",
"110/06/07","21,476,762","1,712,034,285","81.90","82.00","78.10","79.40","-2.80","12,825",
"110/06/08","11,063,282","887,846,732","80.20","81.50","79.60","80.10","+0.70","6,527",
"110/06/09","22,430,454","1,746,775,410","79.20","79.40","77.00","77.20","-2.90","13,020",
"110/06/10","15,959,567","1,255,289,000","77.30","79.50","77.00","79.50","+2.30","8,940",
"110/06/11","11,903,138","943,631,053","79.90","80.50","78.50","78.80","-0.70","6,831",
"110/06/15","10,776,168","846,172,497","78.80","79.60","78.10","78.70","-0.10","5,990",
"110/06/16","14,115,895","1,123,205,349","79.50","80.40","78.60","79.10","+0.40","7,709",
"110/06/17","11,637,547","912,921,058","79.00","79.00","78.00","78.90","-0.20","6,629",
"110/06/18","11,014,339","874,621,550","79.30","80.20","78.90","78.90"," 0.00","4,807",
"110/06/21","26,795,489","2,029,420,093","77.90","78.10","74.70","74.70","-4.20","17,282",
"110/06/22","14,468,750","1,087,938,472","75.80","76.10","74.50","75.20","+0.50","7,367",
"110/06/23","24,573,558","1,849,376,506","75.30","76.70","73.00","76.60","+1.40","14,266",
"110/06/24","14,948,832","1,153,599,357","76.60","77.90","76.50","77.60","+1.00","7,820",
"110/06/25","35,217,522","2,832,121,944","78.90","81.40","78.80","80.00","+2.40","19,879",
"110/06/28","26,665,568","2,170,052,975","81.30","82.30","80.10","81.20","+1.20","15,535",
"110/06/29","18,877,645","1,512,836,687","82.00","82.00","79.20","79.30","-1.90","11,777",
"110/06/30","16,345,720","1,295,914,451","79.10","80.00","78.80","79.70","+0.40","8,758",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

