"110年05月 2409 友達             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","466,245,924","14,238,653,293","31.00","31.65","29.85","29.85","-3.30","146,927",
"110/05/04","576,889,384","16,068,954,636","29.00","30.50","26.90","27.40","-2.45","144,226",
"110/05/05","368,541,251","10,154,348,559","27.40","28.45","26.35","27.00","-0.40","96,196",
"110/05/06","420,151,189","11,116,903,030","27.60","28.15","25.05","25.70","-1.30","99,989",
"110/05/07","418,489,571","11,226,251,470","26.45","28.20","25.35","28.15","+2.45","102,716",
"110/05/10","288,979,530","7,851,955,439","27.95","28.00","26.65","26.85","-1.30","76,773",
"110/05/11","365,083,405","8,961,335,483","24.85","25.40","24.20","24.20","-2.65","101,484",
"110/05/12","588,895,666","13,303,983,523","23.85","24.20","21.80","22.00","-2.20","124,520",
"110/05/13","472,851,611","10,208,354,437","20.60","22.75","20.10","21.80","-0.20","99,922",
"110/05/14","417,683,330","9,435,294,398","22.80","23.70","21.35","21.85","+0.05","94,777",
"110/05/17","378,125,200","7,750,070,724","19.80","21.80","19.70","20.00","-1.85","73,044",
"110/05/18","340,458,360","7,432,575,942","21.45","22.00","21.15","22.00","+2.00","47,465",
"110/05/19","733,470,330","16,825,130,472","22.20","23.95","21.85","23.25","+1.25","159,748",
"110/05/20","354,213,058","7,927,226,192","22.75","23.15","21.65","21.85","-1.40","82,589",
"110/05/21","366,027,842","8,042,087,186","22.50","22.80","21.35","21.70","-0.15","82,306",
"110/05/24","311,184,896","6,872,135,570","21.40","22.90","20.90","22.60","+0.90","70,465",
"110/05/25","447,619,546","10,416,428,039","23.15","23.90","22.80","22.85","+0.25","92,610",
"110/05/26","239,392,624","5,380,081,515","22.95","23.20","22.20","22.20","-0.65","54,147",
"110/05/27","332,309,831","7,449,273,265","21.85","23.05","21.75","22.50","+0.30","58,269",
"110/05/28","325,082,427","7,604,679,492","23.20","23.70","23.00","23.50","+1.00","69,922",
"110/05/31","738,684,620","18,550,438,966","24.25","25.85","23.75","25.85","+2.35","150,115",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

