"110年05月 2603 長榮             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","552,286,582","46,978,625,281","84.00","86.90","81.60","86.60","+7.60","191,384",
"110/05/04","678,919,413","56,162,741,855","86.60","89.10","78.00","78.00","-8.60","256,600",
"110/05/05","483,150,034","38,099,726,976","77.00","82.40","74.40","79.90","+1.90","180,277",
"110/05/06","437,575,001","36,121,603,449","84.00","85.50","78.80","81.10","+1.20","152,833",
"110/05/07","352,244,718","29,230,697,687","84.00","85.00","80.50","85.00","+3.90","119,897",
"110/05/10","439,837,566","40,421,975,778","88.50","93.50","87.30","93.50","+8.50","133,224",
"110/05/11","828,793,546","79,113,581,994","91.60","100.00","89.10","95.60","+2.10","314,857",
"110/05/12","441,547,614","39,733,135,160","93.50","95.50","86.10","86.10","-9.50","167,365",
"110/05/13","501,816,723","39,582,467,828","77.50","85.00","77.50","77.50","-8.60","182,373",
"110/05/14","627,472,150","45,762,287,592","78.50","79.90","69.80","70.10","-7.40","211,303",
"110/05/17","513,416,094","33,777,195,458","65.00","70.00","63.10","63.10","-7.00","161,195",
"110/05/18","264,091,539","18,015,414,506","67.80","69.40","65.20","69.40","+6.30","66,686",
"110/05/19","425,368,888","31,800,340,662","72.40","76.30","72.10","76.30","+6.90","137,311",
"110/05/20","785,537,784","61,824,822,481","76.30","82.20","75.00","77.00","+0.70","301,833",
"110/05/21","592,334,120","48,780,487,121","81.00","84.70","80.10","84.70","+7.70","216,135",
"110/05/24","710,048,509","62,243,176,619","85.30","91.40","83.30","86.40","+1.70","297,560",
"110/05/25","650,675,005","54,779,103,540","89.50","90.50","78.00","82.40","-4.00","271,132",
"110/05/26","585,123,409","49,227,896,726","83.40","87.00","79.50","85.60","+3.20","236,995",
"110/05/27","575,706,938","50,563,262,320","86.80","89.80","85.60","87.70","+2.10","216,599",
"110/05/28","694,445,689","64,034,742,902","89.50","96.40","87.70","96.40","+8.70","266,694",
"110/05/31","670,726,907","67,815,520,019","99.50","105.50","96.60","98.60","+2.20","248,315",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

