"110年07月 2609 陽明             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/07/01","114,395,747","22,088,178,301","188.00","200.50","183.00","196.00","+13.50","81,782",
"110/07/02","90,009,902","17,254,329,502","197.00","197.00","186.00","191.00","-5.00","70,421",
"110/07/05","87,982,844","16,708,640,720","198.00","198.00","180.00","197.00","+6.00","61,045",
"110/07/06","423,072,466","89,704,375,832","201.00","216.50","196.00","216.50","+19.50","165,276",
"110/07/07","613,283,761","133,948,767,971","222.00","234.50","195.50","210.00","-6.50","309,213",
"110/07/08","670,995,009","141,669,265,366","216.00","227.00","194.00","216.50","+6.50","358,252",
"110/07/09","579,705,972","120,349,810,169","207.00","219.00","195.50","195.50","-21.00","307,133",
"110/07/12","531,241,944","107,156,124,164","206.50","212.00","187.00","195.50"," 0.00","272,074",
"110/07/13","545,938,539","102,754,368,506","202.00","204.00","176.00","176.00","-19.50","283,905",
"110/07/14","758,462,486","128,003,379,548","177.00","181.00","159.00","163.00","-13.00","374,394",
"110/07/15","426,579,560","73,893,333,983","170.00","179.00","166.00","179.00","+16.00","185,426",
"110/07/16","650,673,396","122,359,022,945","183.00","195.50","182.00","188.00","+9.00","326,041",
"110/07/19","413,675,099","79,529,589,872","193.00","196.50","186.50","188.00"," 0.00","195,082",
"110/07/20","488,666,127","86,425,236,284","185.00","185.50","170.00","170.50","-17.50","223,033",
"110/07/21","482,445,663","78,814,432,178","176.50","180.00","153.50","153.50","-17.00","258,959",
"110/07/22","458,906,292","65,538,772,065","153.50","155.00","138.50","140.50","-13.00","221,123",
"110/07/23","437,511,960","62,394,119,719","142.00","149.50","134.50","145.50","+5.00","222,545",
"110/07/26","256,173,773","36,249,698,059","145.50","147.00","134.00","136.00","-9.50","126,817",
"110/07/27","334,105,935","42,201,837,036","130.50","134.00","122.50","122.50","-13.50","156,345",
"110/07/28","485,289,013","56,894,994,229","123.00","125.00","110.50","118.00","-4.50","220,537",
"110/07/29","54,595,224","6,839,459,565","121.00","129.50","120.00","129.50","+11.50","24,327",
"110/07/30","52,473,788","6,763,938,477","135.00","135.00","117.00","117.00","-12.50","22,860",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

