"110年06月 2615 萬海             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","23,700,678","3,605,214,451","148.00","159.50","142.00","159.50","+14.50","14,849",
"110/06/02","26,213,451","4,275,609,742","159.50","172.00","157.00","160.00","+0.50","16,042",
"110/06/03","16,481,522","2,682,726,792","164.50","166.00","159.00","161.00","+1.00","10,718",
"110/06/04","14,789,981","2,334,058,610","159.00","162.00","155.00","155.50","-5.50","10,666",
"110/06/07","14,152,946","2,116,294,969","157.00","157.00","140.00","153.00","-2.50","10,517",
"110/06/08","17,542,018","2,830,559,670","153.00","165.00","153.00","165.00","+12.00","11,364",
"110/06/09","14,725,212","2,368,568,173","165.00","165.00","157.00","160.00","-5.00","9,393",
"110/06/10","13,338,834","2,074,131,791","162.00","162.00","150.00","159.00","-1.00","8,849",
"110/06/11","24,076,970","4,100,238,007","162.00","174.50","162.00","174.50","+15.50","15,298",
"110/06/15","36,557,365","6,873,026,403","182.00","191.50","182.00","191.50","+17.00","13,671",
"110/06/16","94,396,098","19,511,252,121","207.50","210.50","197.00","205.50","+14.00","49,483",
"110/06/17","108,839,543","22,247,742,583","210.50","213.00","196.00","206.00","+0.50","62,119",
"110/06/18","148,405,056","32,489,339,398","206.00","226.50","201.00","226.50","+20.50","72,829",
"110/06/21","111,866,578","27,323,537,398","228.00","249.00","226.50","249.00","+22.50","50,497",
"110/06/22","192,565,780","50,921,219,736","267.00","273.00","251.00","251.00","+2.00","105,453",
"110/06/23","270,589,534","65,964,784,486","246.00","262.00","226.00","226.00","-25.00","145,340",
"110/06/24","132,739,049","31,830,266,730","227.50","248.50","223.00","248.50","+22.50","63,946",
"110/06/25","194,547,230","51,941,053,824","265.00","273.00","255.00","273.00","+24.50","105,436",
"110/06/28","104,821,433","30,869,594,948","287.00","300.00","286.00","300.00","+27.00","53,605",
"110/06/29","280,229,178","86,362,284,928","314.50","323.00","290.00","292.00","-8.00","166,990",
"110/06/30","168,328,930","52,112,226,600","296.00","321.00","296.00","321.00","+29.00","92,782",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

