"110年05月 2801 彰銀             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","11,507,388","204,521,482","17.90","17.90","17.65","17.65","-0.25","2,418",
"110/05/04","15,131,694","266,936,700","17.65","17.90","17.45","17.55","-0.10","3,751",
"110/05/05","5,969,558","104,856,895","17.50","17.70","17.40","17.60","+0.05","1,340",
"110/05/06","10,615,892","183,334,754","17.60","17.80","17.60","17.65","+0.05","1,386",
"110/05/07","6,298,954","112,183,551","17.75","17.90","17.70","17.85","+0.20","1,367",
"110/05/10","12,357,772","221,909,202","17.75","18.05","17.75","18.00","+0.15","2,410",
"110/05/11","9,256,835","164,163,619","17.95","17.95","17.55","17.60","-0.40","2,652",
"110/05/12","39,050,516","667,894,441","17.50","17.85","16.50","16.80","-0.80","7,061",
"110/05/13","21,482,478","360,244,081","17.00","17.00","16.65","16.65","-0.15","4,817",
"110/05/14","13,668,596","228,657,827","16.75","16.90","16.65","16.75","+0.10","3,807",
"110/05/17","20,912,895","343,446,653","16.45","16.55","16.30","16.35","-0.40","3,947",
"110/05/18","11,164,212","185,468,593","16.35","16.80","16.35","16.70","+0.35","2,423",
"110/05/19","8,775,949","144,841,403","16.55","16.65","16.40","16.50","-0.20","2,681",
"110/05/20","11,640,945","191,003,344","16.45","16.50","16.35","16.40","-0.10","2,766",
"110/05/21","7,956,175","131,904,746","16.50","16.75","16.45","16.65","+0.25","2,426",
"110/05/24","9,259,201","153,416,295","16.65","16.70","16.45","16.70","+0.05","2,155",
"110/05/25","8,092,457","134,679,239","16.60","16.70","16.55","16.60","-0.10","2,428",
"110/05/26","8,229,874","137,429,042","16.65","16.90","16.55","16.90","+0.30","2,679",
"110/05/27","83,453,106","1,404,037,276","16.65","16.85","16.60","16.85","-0.05","5,211",
"110/05/28","10,107,200","170,532,469","16.90","16.95","16.80","16.90","+0.05","2,887",
"110/05/31","6,889,151","116,181,879","16.90","16.95","16.80","16.85","-0.05","1,867",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

