"110年05月 2880 華南金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","26,161,427","489,408,486","18.90","18.95","18.60","18.70","-0.30","9,428",
"110/05/04","26,708,826","497,957,469","18.70","19.00","18.50","18.55","-0.15","7,121",
"110/05/05","14,126,879","262,793,895","18.55","18.75","18.45","18.60","+0.05","5,135",
"110/05/06","12,367,577","232,093,481","18.60","18.90","18.60","18.90","+0.30","3,675",
"110/05/07","8,289,290","156,856,377","18.95","19.00","18.85","18.90"," 0.00","2,861",
"110/05/10","15,363,882","292,825,864","19.05","19.15","18.95","19.10","+0.20","4,704",
"110/05/11","19,444,281","366,053,672","19.00","19.05","18.60","18.70","-0.40","6,370",
"110/05/12","49,925,199","908,827,590","18.60","18.90","17.40","17.95","-0.75","14,484",
"110/05/13","24,505,622","439,372,761","17.70","18.10","17.70","17.85","-0.10","7,654",
"110/05/14","13,732,164","246,707,513","17.90","18.05","17.90","18.05","+0.20","4,580",
"110/05/17","23,360,544","414,260,937","17.70","17.95","17.60","17.60","-0.45","7,927",
"110/05/18","11,976,988","215,535,344","17.65","18.20","17.65","18.05","+0.45","3,143",
"110/05/19","7,278,393","130,850,078","17.95","18.10","17.90","17.90","-0.15","3,410",
"110/05/20","10,252,331","183,242,075","17.90","18.00","17.80","17.85","-0.05","2,873",
"110/05/21","7,549,916","136,250,330","18.00","18.20","17.90","18.05","+0.20","2,750",
"110/05/24","6,921,791","124,388,412","17.95","18.05","17.85","17.95","-0.10","2,303",
"110/05/25","7,848,755","141,511,300","17.95","18.15","17.95","18.00","+0.05","2,509",
"110/05/26","9,130,785","165,021,548","18.00","18.15","18.00","18.10","+0.10","2,454",
"110/05/27","25,513,271","461,753,866","18.05","18.15","17.95","18.15","+0.05","3,030",
"110/05/28","11,372,205","206,688,315","18.20","18.25","18.10","18.15"," 0.00","3,285",
"110/05/31","8,158,072","148,580,050","18.15","18.25","18.15","18.25","+0.10","2,752",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

