"110年05月 2881 富邦金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","104,458,828","7,301,158,889","70.40","70.50","68.60","68.80","+4.60","33,952",
"110/05/04","69,548,339","4,719,763,076","69.60","69.90","65.60","67.40","-1.40","28,180",
"110/05/05","54,322,514","3,757,957,904","67.80","70.50","67.00","69.50","+2.10","20,926",
"110/05/06","40,100,586","2,803,007,848","70.40","71.10","68.70","69.60","+0.10","15,031",
"110/05/07","31,402,162","2,214,113,628","70.10","70.90","69.70","70.80","+1.20","11,046",
"110/05/10","78,144,991","5,852,359,674","71.80","77.50","71.20","76.60","+5.80","31,329",
"110/05/11","95,962,121","7,324,242,275","76.50","78.80","73.10","74.80","-1.80","42,437",
"110/05/12","141,408,793","9,918,188,134","74.50","74.60","67.40","70.00","-4.80","54,818",
"110/05/13","69,444,690","4,793,741,129","67.10","71.00","67.00","68.60","-1.40","28,783",
"110/05/14","45,730,541","3,194,921,239","70.00","71.40","68.70","69.60","+1.00","18,194",
"110/05/17","63,954,250","4,261,281,013","66.20","68.50","65.10","65.60","-4.00","27,190",
"110/05/18","66,344,202","4,657,456,785","66.80","71.50","66.80","71.40","+5.80","28,195",
"110/05/19","37,984,950","2,696,091,381","71.40","72.30","69.80","70.60","-0.80","17,204",
"110/05/20","29,735,697","2,083,738,693","70.60","71.20","69.40","70.20","-0.40","11,467",
"110/05/21","57,010,771","4,177,057,903","76.40","76.40","71.50","72.00","+1.80","20,283",
"110/05/24","21,661,751","1,551,132,137","71.00","72.20","70.80","72.00"," 0.00","9,711",
"110/05/25","24,084,456","1,733,373,440","72.00","72.60","71.70","71.90","-0.10","9,203",
"110/05/26","14,922,331","1,066,301,146","71.80","72.00","71.10","71.60","-0.30","7,558",
"110/05/27","54,203,470","3,859,366,172","70.60","71.60","70.10","71.60"," 0.00","10,698",
"110/05/28","26,643,883","1,915,845,747","72.00","72.40","71.00","72.00","+0.40","10,008",
"110/05/31","21,327,602","1,540,009,580","72.10","72.60","71.70","72.30","+0.30","8,753",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

