"110年06月 2882 國泰金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","16,266,892","908,332,412","56.00","56.40","55.50","55.80","-0.10","7,595",
"110/06/02","26,324,535","1,472,803,912","55.80","56.30","55.60","56.30","+0.50","10,082",
"110/06/03","20,051,611","1,125,317,686","56.70","56.80","55.70","55.80","-0.50","8,001",
"110/06/04","26,136,137","1,438,115,875","55.20","55.60","54.80","55.00","-0.80","9,948",
"110/06/07","24,681,530","1,343,142,138","55.10","55.20","53.20","54.70","-0.30","8,494",
"110/06/08","18,198,849","998,980,582","55.10","55.40","54.60","54.80","+0.10","6,897",
"110/06/09","27,460,179","1,485,974,388","54.70","54.80","53.80","54.30","-0.50","9,269",
"110/06/10","20,049,746","1,092,112,488","54.60","54.80","54.00","54.70","+0.40","6,192",
"110/06/11","26,770,059","1,467,447,964","54.70","55.50","54.40","54.50","-0.20","8,940",
"110/06/15","18,636,566","1,013,579,126","54.60","54.70","54.20","54.30","-0.20","6,547",
"110/06/16","28,459,572","1,540,523,059","54.10","54.60","53.70","54.30"," 0.00","10,030",
"110/06/17","18,137,843","976,222,795","53.60","54.20","53.50","54.00","-0.30","5,963",
"110/06/18","31,636,318","1,694,482,671","53.80","54.00","53.40","53.60","-0.40","8,903",
"110/06/21","60,737,704","3,165,993,374","52.90","52.90","51.50","52.00","-1.60","21,291",
"110/06/22","22,767,020","1,198,502,602","52.50","53.00","52.30","52.60","+0.60","8,195",
"110/06/23","37,496,029","2,013,585,102","52.70","54.20","52.60","54.10","+1.50","12,949",
"110/06/24","18,604,408","999,924,025","53.80","54.10","53.50","53.80","-0.30","5,607",
"110/06/25","22,728,338","1,235,625,040","54.30","54.60","54.00","54.30","+0.50","6,893",
"110/06/28","13,806,297","749,892,844","54.50","54.50","54.10","54.30"," 0.00","4,084",
"110/06/29","27,124,845","1,455,799,031","54.20","54.20","53.30","53.70","-0.60","7,899",
"110/06/30","19,773,876","1,066,875,746","53.70","54.20","53.60","53.90","+0.20","5,172",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

