"110年07月 2886 兆豐金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/07/01","14,108,325","460,394,782","32.70","32.80","32.50","32.65","-0.20","7,574",
"110/07/02","9,098,270","296,377,297","32.65","32.70","32.55","32.55","-0.10","5,069",
"110/07/05","11,419,286","372,993,891","32.75","32.80","32.60","32.75","+0.20","4,262",
"110/07/06","11,431,361","374,898,497","32.75","32.90","32.70","32.85","+0.10","5,960",
"110/07/07","12,948,125","423,132,216","32.70","32.80","32.50","32.80","-0.05","5,749",
"110/07/08","10,152,992","332,472,156","32.80","32.90","32.65","32.80"," 0.00","4,150",
"110/07/09","15,427,241","503,188,573","32.60","32.90","32.50","32.90","+0.10","5,873",
"110/07/12","14,116,668","463,646,368","32.85","32.90","32.80","32.80","-0.10","5,481",
"110/07/13","13,620,371","447,705,169","32.80","32.95","32.80","32.95","+0.15","5,330",
"110/07/14","16,959,661","556,588,724","32.80","32.95","32.75","32.95"," 0.00","6,554",
"110/07/15","13,927,743","457,298,681","32.80","32.90","32.80","32.85","-0.10","6,760",
"110/07/16","15,905,804","523,609,207","32.75","33.00","32.75","33.00","+0.15","5,757",
"110/07/19","16,647,690","548,293,039","32.85","33.10","32.75","33.10","+0.10","4,762",
"110/07/20","9,415,946","309,532,092","32.90","33.00","32.80","32.80","-0.30","4,336",
"110/07/21","16,507,926","541,460,845","32.80","32.95","32.70","32.90","+0.10","6,869",
"110/07/22","12,793,079","422,094,128","32.90","33.10","32.85","33.05","+0.15","4,786",
"110/07/23","11,455,622","378,419,042","33.05","33.10","32.95","33.10","+0.05","4,422",
"110/07/26","10,787,592","355,678,258","33.10","33.15","32.85","33.00","-0.10","4,598",
"110/07/27","8,202,993","270,610,379","33.00","33.05","32.85","33.05","+0.05","3,048",
"110/07/28","15,181,920","500,367,486","33.05","33.10","32.85","33.00","-0.05","5,377",
"110/07/29","10,448,364","345,136,537","33.00","33.10","32.90","33.10","+0.10","4,291",
"110/07/30","20,438,458","675,146,293","33.10","33.10","32.90","33.10"," 0.00","4,210",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

