"110年07月 2891 中信金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/07/01","24,157,658","544,878,374","22.60","22.65","22.50","22.55","-0.15","7,966",
"110/07/02","16,935,858","380,110,616","22.60","22.60","22.35","22.40","-0.15","5,275",
"110/07/05","21,004,605","472,143,227","22.55","22.60","22.40","22.50","+0.10","4,853",
"110/07/06","32,240,712","727,822,184","22.50","22.65","22.50","22.60","+0.10","5,087",
"110/07/07","29,211,035","659,960,994","22.60","22.70","22.45","22.65","+0.05","6,742",
"110/07/08","36,430,571","832,026,624","22.80","22.95","22.75","22.85","+0.20","7,715",
"110/07/09","40,744,803","923,444,474","22.75","22.80","22.55","22.70","-0.15","8,431",
"110/07/12","36,011,984","820,439,430","22.90","22.95","22.65","22.65","-0.05","9,011",
"110/07/13","35,784,849","812,696,420","22.75","22.80","22.60","22.70","+0.05","8,679",
"110/07/14","27,357,159","620,054,804","22.65","22.80","22.60","22.70"," 0.00","7,001",
"110/07/15","27,494,160","624,309,081","22.70","22.75","22.65","22.75","+0.05","6,791",
"110/07/16","65,599,786","1,504,116,607","22.70","23.05","22.70","23.05","+0.30","15,906",
"110/07/19","33,536,731","770,417,854","23.10","23.15","22.85","23.00","-0.05","8,069",
"110/07/20","34,811,135","789,730,788","22.70","22.85","22.60","22.65","-0.35","10,905",
"110/07/21","22,888,144","518,472,129","22.70","22.75","22.55","22.70","+0.05","10,207",
"110/07/22","18,936,529","432,044,787","22.75","22.85","22.70","22.85","+0.15","5,139",
"110/07/23","20,700,072","474,670,401","22.95","23.00","22.85","23.00","+0.15","4,287",
"110/07/26","24,014,390","550,970,324","23.00","23.05","22.80","22.90","-0.10","5,656",
"110/07/27","15,619,439","356,843,922","22.90","22.95","22.75","22.85","-0.05","3,587",
"110/07/28","28,984,086","657,812,290","22.85","22.90","22.55","22.75","-0.10","7,652",
"110/07/29","18,992,003","432,654,428","22.80","22.85","22.65","22.80","+0.05","4,120",
"110/07/30","30,696,473","701,216,362","22.85","22.90","22.75","22.85","+0.05","4,413",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

