"110年06月 2912 統一超           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","982,678","261,264,617","264.00","267.00","263.00","266.50","+2.00","1,156",
"110/06/02","1,542,357","412,473,604","265.50","269.00","265.00","268.50","+2.00","1,521",
"110/06/03","717,378","191,519,676","268.50","268.50","265.50","266.50","-2.00","873",
"110/06/04","742,784","195,933,346","264.50","265.00","263.00","263.50","-3.00","1,249",
"110/06/07","801,267","210,294,875","263.50","264.50","261.00","262.00","-1.50","1,246",
"110/06/08","561,816","147,682,740","264.00","264.00","262.00","263.00","+1.00","766",
"110/06/09","742,129","195,510,832","262.50","264.50","262.00","264.00","+1.00","739",
"110/06/10","658,360","174,281,407","264.50","266.00","264.00","264.50","+0.50","518",
"110/06/11","406,155","107,393,544","264.50","265.00","263.50","264.50"," 0.00","544",
"110/06/15","1,179,409","309,455,705","264.50","265.50","261.50","262.00","-2.50","1,951",
"110/06/16","1,115,393","292,717,282","261.00","263.50","261.00","262.50","+0.50","1,302",
"110/06/17","1,493,897","390,108,191","261.00","262.50","259.00","261.00","-1.50","1,847",
"110/06/18","2,854,653","743,345,856","260.50","262.00","260.00","260.00","-1.00","2,703",
"110/06/21","1,591,559","414,561,412","260.00","262.50","259.00","262.50","+2.50","1,993",
"110/06/22","766,021","199,940,016","261.00","261.50","260.50","261.00","-1.50","989",
"110/06/23","1,089,167","286,517,795","261.00","264.50","261.00","263.00","+2.00","1,203",
"110/06/24","569,728","149,620,075","262.50","264.00","262.00","262.00","-1.00","686",
"110/06/25","729,345","191,857,320","263.00","264.50","262.00","262.00"," 0.00","932",
"110/06/28","564,092","147,650,233","263.00","263.50","261.00","261.00","-1.00","896",
"110/06/29","801,721","209,850,762","261.00","263.00","260.00","263.00","+2.00","1,051",
"110/06/30","600,407","157,834,906","262.50","263.50","262.00","263.00"," 0.00","726",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

