"110年05月 3034 聯詠             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","14,058,456","8,375,064,162","621.00","623.00","582.00","588.00","-36.00","17,226",
"110/05/04","16,818,508","9,543,294,064","588.00","594.00","540.00","581.00","-7.00","18,598",
"110/05/05","15,220,071","8,463,877,292","580.00","586.00","532.00","533.00","-48.00","18,983",
"110/05/06","15,074,476","8,186,678,036","543.00","555.00","528.00","553.00","+20.00","13,059",
"110/05/07","20,083,605","11,534,627,923","575.00","585.00","555.00","578.00","+25.00","17,417",
"110/05/10","14,310,736","8,070,970,085","587.00","589.00","543.00","545.00","-33.00","16,337",
"110/05/11","27,432,990","13,758,947,994","510.00","530.00","490.50","491.00","-54.00","30,204",
"110/05/12","32,228,057","15,545,098,925","493.50","509.00","443.50","491.50","+0.50","29,294",
"110/05/13","20,123,211","9,842,582,601","493.50","505.00","476.00","479.00","-12.50","19,136",
"110/05/14","16,171,162","7,973,159,204","492.00","508.00","476.00","480.00","+1.00","14,813",
"110/05/17","14,690,492","6,922,984,816","452.00","491.00","451.50","466.50","-13.50","14,382",
"110/05/18","21,703,434","10,790,570,925","484.00","513.00","473.00","513.00","+46.50","18,487",
"110/05/19","20,581,767","10,343,236,235","515.00","525.00","492.00","494.50","-18.50","17,942",
"110/05/20","21,867,555","10,265,671,765","474.00","486.50","456.00","460.00","-34.50","25,789",
"110/05/21","13,629,781","6,392,388,477","472.00","478.00","462.00","470.50","+10.50","12,219",
"110/05/24","11,282,820","5,417,338,527","470.00","492.50","464.00","487.50","+17.00","11,155",
"110/05/25","14,959,723","7,465,984,706","500.00","507.00","491.00","491.00","+3.50","13,463",
"110/05/26","7,144,135","3,484,838,137","493.00","495.50","482.50","487.00","-4.00","7,538",
"110/05/27","8,356,204","4,100,324,914","484.00","495.50","480.50","495.50","+8.50","6,304",
"110/05/28","12,116,389","6,157,208,507","505.00","516.00","501.00","505.00","+9.50","11,859",
"110/05/31","12,500,526","6,560,609,108","512.00","536.00","507.00","534.00","+29.00","12,480",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

