"110年05月 3045 台灣大           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","2,901,445","289,150,037","100.00","100.50","99.30","99.80","-0.20","1,781",
"110/05/04","4,934,300","491,635,043","100.00","100.50","99.00","99.10","-0.70","2,463",
"110/05/05","3,252,873","322,501,488","99.50","99.60","98.70","99.00","-0.10","1,744",
"110/05/06","4,804,101","479,747,378","99.20","100.50","99.10","100.00","+1.00","2,405",
"110/05/07","3,310,814","332,968,709","100.50","101.00","100.00","100.50","+0.50","1,784",
"110/05/10","3,774,957","376,967,311","101.00","101.00","100.00","100.50"," 0.00","1,667",
"110/05/11","4,515,844","453,560,464","100.50","101.00","100.00","100.50"," 0.00","2,671",
"110/05/12","12,404,063","1,227,319,684","100.50","101.00","95.50","98.40","-2.10","5,545",
"110/05/13","10,122,777","990,535,859","98.40","98.70","97.00","97.30","-1.10","5,195",
"110/05/14","5,335,638","525,560,786","97.60","99.70","97.40","99.70","+2.40","2,612",
"110/05/17","7,524,373","744,906,449","98.00","99.60","98.00","99.60","-0.10","3,383",
"110/05/18","4,765,237","475,732,422","98.80","100.50","98.80","100.50","+0.90","2,359",
"110/05/19","3,014,889","301,752,673","99.10","100.50","99.10","100.50"," 0.00","1,885",
"110/05/20","4,035,239","403,563,812","99.60","100.50","99.20","100.50"," 0.00","1,896",
"110/05/21","2,506,015","252,328,998","101.00","101.00","100.00","101.00","+0.50","1,376",
"110/05/24","1,618,286","161,667,002","100.50","100.50","99.50","100.00","-1.00","996",
"110/05/25","2,372,136","237,449,644","99.70","100.50","99.50","100.00"," 0.00","1,366",
"110/05/26","2,447,720","243,656,598","99.70","99.90","99.20","99.70","-0.30","1,443",
"110/05/27","10,294,351","1,011,863,719","99.20","99.20","98.00","98.00","-1.70","3,388",
"110/05/28","2,823,324","280,410,751","98.80","99.70","98.50","99.70","+1.70","1,741",
"110/05/31","3,286,311","328,896,606","100.00","100.50","99.40","100.50","+0.80","2,431",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

