"110年05月 3711 日月光投控       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","27,875,958","3,164,463,640","117.00","118.00","111.50","112.50","-5.50","13,887",
"110/05/04","26,860,105","2,954,299,682","111.50","113.00","107.00","111.50","-1.00","12,200",
"110/05/05","19,883,504","2,161,311,266","111.00","111.50","106.00","106.50","-5.00","9,930",
"110/05/06","17,652,644","1,895,205,252","107.00","110.00","105.00","107.50","+1.00","7,874",
"110/05/07","17,171,663","1,917,006,020","110.00","113.00","108.50","113.00","+5.50","8,126",
"110/05/10","12,490,464","1,388,721,753","115.00","115.00","109.00","110.00","-3.00","6,685",
"110/05/11","24,200,408","2,537,886,035","107.50","108.00","102.00","103.50","-6.50","13,292",
"110/05/12","39,819,226","3,863,045,245","101.00","102.50","93.30","97.00","-6.50","20,169",
"110/05/13","29,081,470","2,882,607,000","94.50","102.00","93.00","100.00","+3.00","13,027",
"110/05/14","30,292,846","3,158,084,459","102.00","106.00","101.50","105.00","+5.00","10,967",
"110/05/17","24,034,617","2,463,341,766","100.50","105.00","99.10","103.00","-2.00","10,630",
"110/05/18","18,853,765","1,985,509,129","104.50","106.50","103.50","106.50","+3.50","8,465",
"110/05/19","10,457,109","1,104,578,088","105.00","107.00","104.00","105.50","-1.00","5,229",
"110/05/20","11,634,627","1,231,612,622","106.00","107.00","104.50","106.50","+1.00","4,955",
"110/05/21","21,623,172","2,299,356,634","108.00","110.50","104.00","105.50","-1.00","9,773",
"110/05/24","8,776,821","932,125,363","105.00","108.00","103.50","106.50","+1.00","3,804",
"110/05/25","17,820,029","1,927,895,274","108.00","109.00","107.00","108.50","+2.00","7,393",
"110/05/26","18,572,231","2,025,742,907","110.00","111.50","107.00","107.50","-1.00","10,058",
"110/05/27","20,535,841","2,205,808,731","107.00","109.00","104.00","109.00","+1.50","6,920",
"110/05/28","15,977,107","1,757,731,589","109.00","111.00","108.50","110.50","+1.50","7,947",
"110/05/31","13,840,491","1,538,810,515","110.50","112.00","109.50","111.50","+1.00","8,840",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

