"110年05月 4904 遠傳             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","4,242,603","273,413,699","64.80","65.10","64.10","64.40","-0.70","2,165",
"110/05/04","5,113,447","328,335,963","64.40","65.00","63.80","63.90","-0.50","2,535",
"110/05/05","1,834,758","117,836,010","64.50","64.50","63.90","64.30","+0.40","1,069",
"110/05/06","2,989,374","193,401,067","64.10","65.00","64.10","65.00","+0.70","1,428",
"110/05/07","2,748,906","180,310,629","65.20","66.00","65.20","65.60","+0.60","1,493",
"110/05/10","3,311,295","214,110,729","65.90","66.00","65.50","66.00","+0.40","1,732",
"110/05/11","6,231,734","411,334,688","65.90","66.40","65.60","65.90","-0.10","2,979",
"110/05/12","11,082,738","711,073,175","65.50","66.30","61.50","64.00","-1.90","5,145",
"110/05/13","5,692,762","360,785,996","63.80","63.90","62.90","63.30","-0.70","2,615",
"110/05/14","4,880,267","311,772,981","63.20","65.00","62.90","64.90","+1.60","2,214",
"110/05/17","6,845,676","436,755,759","63.80","64.50","63.10","64.20","-0.70","2,623",
"110/05/18","4,470,385","286,227,005","63.40","64.60","63.40","64.20"," 0.00","2,196",
"110/05/19","3,495,111","223,279,326","63.90","64.50","63.30","64.00","-0.20","2,092",
"110/05/20","3,853,812","246,808,866","63.50","64.50","63.50","64.20","+0.20","1,902",
"110/05/21","2,609,934","168,162,232","64.50","64.90","64.10","64.60","+0.40","1,199",
"110/05/24","1,880,086","120,548,430","64.50","64.60","64.00","64.20","-0.40","1,285",
"110/05/25","2,165,821","139,208,308","64.10","64.50","64.10","64.50","+0.30","1,342",
"110/05/26","2,693,235","173,278,439","64.50","64.50","64.10","64.30","-0.20","1,207",
"110/05/27","14,275,689","912,484,187","63.90","64.30","63.30","64.30"," 0.00","3,373",
"110/05/28","4,700,702","301,999,394","64.20","64.50","63.90","64.50","+0.20","2,072",
"110/05/31","4,205,600","270,447,911","64.60","64.60","64.00","64.40","-0.10","1,962",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

