"110年05月 4938 和碩             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","18,817,156","1,365,216,892","73.60","73.80","72.20","72.20","-1.40","11,068",
"110/05/04","25,371,841","1,780,827,641","72.20","72.30","70.60","71.50","-0.70","12,651",
"110/05/05","12,131,594","863,683,265","71.40","71.70","70.80","70.80","-0.70","7,533",
"110/05/06","19,787,645","1,387,737,046","70.90","71.10","69.60","69.70","-1.10","13,469",
"110/05/07","9,334,738","660,082,660","70.00","71.20","70.00","71.10","+1.40","5,133",
"110/05/10","8,293,311","582,403,352","71.20","71.50","70.50","70.60","-0.50","4,474",
"110/05/11","18,373,591","1,281,577,303","70.40","70.50","69.00","69.30","-1.30","10,629",
"110/05/12","42,092,301","2,988,088,492","70.70","73.00","68.00","71.10","+1.80","23,544",
"110/05/13","19,517,616","1,374,370,430","71.50","71.80","69.20","70.10","-1.00","11,051",
"110/05/14","7,451,122","525,256,379","70.50","71.20","70.10","70.60","+0.50","4,367",
"110/05/17","14,380,537","984,413,212","67.60","69.70","67.60","68.40","-2.20","8,596",
"110/05/18","9,160,586","640,259,153","69.00","70.40","69.00","70.20","+1.80","4,983",
"110/05/19","11,512,426","819,365,408","69.80","71.80","69.80","71.50","+1.30","6,016",
"110/05/20","13,836,939","998,352,746","71.50","72.60","71.50","72.10","+0.60","6,496",
"110/05/21","10,448,251","758,417,794","72.90","73.20","72.10","72.50","+0.40","5,126",
"110/05/24","7,077,519","513,748,386","72.20","72.90","72.20","72.70","+0.20","3,552",
"110/05/25","11,686,005","850,529,400","72.90","73.20","72.40","72.90","+0.20","5,981",
"110/05/26","9,146,775","668,765,456","73.00","73.50","72.90","73.30","+0.40","5,454",
"110/05/27","13,987,017","1,019,976,460","73.00","73.40","72.30","73.20","-0.10","4,466",
"110/05/28","10,790,093","789,887,716","73.30","73.40","73.00","73.20"," 0.00","4,697",
"110/05/31","8,292,872","607,353,010","73.10","73.50","72.70","73.50","+0.30","4,052",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

