"110年05月 5871 中租-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","2,415,018","480,142,357","199.50","201.50","197.00","197.50","-4.50","2,088",
"110/05/04","3,872,988","763,850,464","198.50","200.00","194.50","197.50"," 0.00","3,022",
"110/05/05","2,325,360","462,436,236","198.00","200.50","197.50","198.00","+0.50","1,524",
"110/05/06","2,100,801","419,078,770","197.50","201.50","197.50","200.00","+2.00","1,507",
"110/05/07","1,237,125","250,453,512","201.50","203.50","200.50","203.50","+3.50","1,102",
"110/05/10","2,680,512","543,885,658","205.00","205.00","201.00","203.50"," 0.00","1,524",
"110/05/11","2,908,614","583,596,779","201.50","203.00","198.00","200.00","-3.50","2,152",
"110/05/12","7,305,568","1,377,907,000","198.50","199.00","180.00","188.00","-12.00","5,952",
"110/05/13","3,993,934","740,270,743","187.50","187.50","181.00","186.00","-2.00","3,106",
"110/05/14","4,841,539","948,413,351","189.00","200.00","188.00","195.50","+9.50","3,548",
"110/05/17","5,789,759","1,086,480,827","189.50","193.50","183.50","187.00","-8.50","4,568",
"110/05/18","6,080,345","1,193,767,839","190.50","200.00","190.00","197.00","+10.00","3,522",
"110/05/19","3,984,318","798,543,837","198.00","205.00","197.00","201.50","+4.50","2,687",
"110/05/20","3,178,569","638,425,605","199.50","202.50","198.00","202.00","+0.50","1,982",
"110/05/21","2,850,845","582,582,155","202.50","206.50","201.50","205.50","+3.50","2,065",
"110/05/24","2,274,263","470,503,696","205.00","209.00","203.00","209.00","+3.50","1,794",
"110/05/25","2,695,646","552,871,233","205.50","207.00","204.00","204.00","-5.00","1,762",
"110/05/26","2,716,895","558,340,541","205.00","207.00","204.00","205.50","+1.50","1,358",
"110/05/27","8,939,574","1,874,985,330","205.00","212.50","201.00","212.50","+7.00","3,319",
"110/05/28","2,764,579","579,454,020","210.00","211.00","208.00","209.50","-3.00","2,369",
"110/05/31","2,705,739","563,091,071","209.50","210.50","205.50","208.50","-1.00","1,899",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

