"110年06月 5876 上海商銀         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","1,335,163","60,427,856","45.10","45.40","45.00","45.35","-0.05","746",
"110/06/02","2,803,127","127,054,825","45.35","45.50","45.00","45.50","+0.15","1,547",
"110/06/03","2,412,871","109,790,166","45.70","45.70","45.20","45.70","+0.20","1,141",
"110/06/04","2,090,852","93,968,032","45.15","45.35","44.45","45.15","-0.55","1,166",
"110/06/07","2,609,600","116,506,333","44.95","45.00","44.20","45.00","-0.15","1,201",
"110/06/08","1,769,008","79,594,320","45.30","45.30","44.70","45.05","+0.05","863",
"110/06/09","2,483,225","111,192,867","44.70","45.00","44.50","45.00","-0.05","1,238",
"110/06/10","2,463,690","110,383,096","44.80","45.00","44.40","45.00"," 0.00","965",
"110/06/11","2,043,221","91,937,990","44.70","45.20","44.70","45.05","+0.05","698",
"110/06/15","1,569,470","70,397,141","45.15","45.15","44.70","45.00","-0.05","949",
"110/06/16","4,049,484","181,928,010","45.00","45.10","44.75","44.85","-0.15","2,483",
"110/06/17","2,448,025","109,230,034","44.00","44.95","44.00","44.80","-0.05","1,387",
"110/06/18","6,462,882","286,642,697","44.50","44.75","44.20","44.25","-0.55","1,474",
"110/06/21","3,200,382","139,598,698","44.20","44.55","43.20","43.50","-0.75","1,508",
"110/06/22","3,562,546","157,922,988","43.50","44.70","43.50","44.30","+0.80","1,803",
"110/06/23","4,982,777","224,130,457","44.00","45.25","44.00","45.25","+0.95","2,168",
"110/06/24","1,374,517","61,762,152","45.05","45.20","44.70","45.00","-0.25","676",
"110/06/25","3,185,412","144,106,983","44.90","45.50","44.75","45.20","+0.20","1,093",
"110/06/28","1,463,473","66,138,393","45.20","45.50","45.05","45.20"," 0.00","728",
"110/06/29","3,159,134","142,199,727","44.95","45.20","44.80","45.20"," 0.00","1,387",
"110/06/30","2,215,987","100,054,158","45.20","45.35","45.00","45.25","+0.05","881",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

