"110年06月 5880 合庫金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","4,771,604","100,071,495","20.95","21.05","20.90","21.00","+0.05","1,915",
"110/06/02","8,583,593","180,910,761","21.00","21.15","21.00","21.10","+0.10","3,854",
"110/06/03","4,665,375","98,629,794","21.20","21.20","21.10","21.15","+0.05","1,823",
"110/06/04","5,536,313","116,696,827","21.15","21.15","21.00","21.05","-0.10","2,175",
"110/06/07","6,554,054","137,385,591","21.05","21.10","20.80","21.00","-0.05","2,861",
"110/06/08","5,670,314","119,517,904","21.10","21.15","21.00","21.15","+0.15","2,396",
"110/06/09","7,341,547","154,076,318","21.05","21.10","20.90","20.95","-0.20","3,539",
"110/06/10","8,026,033","168,255,649","20.95","21.05","20.90","21.00","+0.05","2,340",
"110/06/11","8,015,804","168,586,326","21.00","21.10","20.90","21.10","+0.10","2,568",
"110/06/15","6,683,654","140,945,213","21.10","21.15","21.00","21.10"," 0.00","2,888",
"110/06/16","12,580,335","265,126,316","21.00","21.15","21.00","21.15","+0.05","6,101",
"110/06/17","7,266,968","152,882,314","21.00","21.10","20.95","21.10","-0.05","2,864",
"110/06/18","25,336,785","528,777,807","21.00","21.10","20.80","20.80","-0.30","5,943",
"110/06/21","10,176,404","212,192,769","20.80","20.95","20.80","20.90","+0.10","4,416",
"110/06/22","6,992,844","146,769,293","20.95","21.05","20.90","21.00","+0.10","3,147",
"110/06/23","10,703,312","225,845,880","20.95","21.20","20.95","21.05","+0.05","4,245",
"110/06/24","8,452,476","178,625,897","21.05","21.20","21.05","21.10","+0.05","2,792",
"110/06/25","9,277,621","196,840,757","21.10","21.30","21.05","21.25","+0.15","2,897",
"110/06/28","7,059,716","150,489,445","21.35","21.35","21.25","21.35","+0.10","2,768",
"110/06/29","7,789,821","165,736,800","21.25","21.35","21.20","21.25","-0.10","2,799",
"110/06/30","10,230,481","217,567,719","21.25","21.35","21.20","21.25"," 0.00","3,726",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

