"110年05月 9910 豐泰             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","679,316","137,031,729","205.00","206.50","199.50","200.50","-7.00","588",
"110/05/04","963,473","192,923,353","204.00","206.50","196.00","200.50"," 0.00","847",
"110/05/05","546,776","109,484,402","197.00","202.00","197.00","201.50","+1.00","546",
"110/05/06","647,311","129,336,846","198.50","203.00","197.50","202.00","+0.50","625",
"110/05/07","587,459","120,941,694","202.50","207.00","201.50","207.00","+5.00","512",
"110/05/10","637,540","134,720,650","210.00","214.50","208.50","210.50","+3.50","594",
"110/05/11","1,092,087","223,729,934","210.50","214.00","199.50","201.00","-9.50","1,712",
"110/05/12","2,042,574","407,996,649","203.50","211.00","187.50","196.00","-5.00","2,280",
"110/05/13","1,514,308","290,295,037","199.50","199.50","188.50","190.50","-5.50","2,429",
"110/05/14","1,011,739","197,875,269","188.00","200.00","188.00","197.50","+7.00","822",
"110/05/17","1,106,156","211,770,566","195.00","198.50","189.00","190.50","-7.00","899",
"110/05/18","1,178,573","236,365,698","190.00","205.00","190.00","204.00","+13.50","1,050",
"110/05/19","1,122,210","233,256,012","198.50","211.00","198.50","207.50","+3.50","914",
"110/05/20","1,262,271","265,818,118","207.00","214.00","204.50","212.00","+4.50","1,114",
"110/05/21","1,237,542","266,696,246","212.00","220.00","209.00","215.00","+3.00","1,071",
"110/05/24","1,547,143","335,614,309","214.50","223.00","214.00","222.00","+7.00","1,219",
"110/05/25","2,132,662","489,727,013","222.50","232.00","222.00","232.00","+10.00","1,827",
"110/05/26","2,235,261","538,645,760","235.00","246.00","234.50","243.50","+11.50","1,974",
"110/05/27","5,531,860","1,307,089,948","247.50","250.00","232.00","232.00","-11.50","2,637",
"110/05/28","2,184,959","530,038,839","235.00","248.00","233.00","245.00","+13.00","1,885",
"110/05/31","1,526,841","366,100,467","247.00","248.00","235.00","241.00","-4.00","1,338",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

