"110年07月 1101 台泥             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/07/01","21,255,834","1,077,678,755","50.90","51.00","50.60","50.60","-0.40","10,298",
"110/07/02","17,261,412","874,049,827","50.60","50.90","50.50","50.50","-0.10","9,946",
"110/07/05","24,887,100","1,261,086,884","50.90","51.00","50.50","50.60","+0.10","10,379",
"110/07/06","24,057,474","1,227,257,324","50.90","51.30","50.70","51.20","+0.60","10,566",
"110/07/07","24,259,700","1,241,307,825","51.10","51.30","51.00","51.30","+0.10","10,028",
"110/07/08","53,623,501","2,814,784,412","51.50","52.90","51.50","52.80","+1.50","22,774",
"110/07/09","37,913,759","1,977,412,863","52.50","52.80","51.80","52.00","-0.80","16,074",
"110/07/12","26,725,789","1,390,815,526","52.20","52.40","51.80","52.20","+0.20","10,097",
"110/07/13","23,392,966","1,217,373,151","52.50","52.50","51.70","51.90","-0.30","9,927",
"110/07/14","20,343,534","1,047,180,343","51.90","52.00","51.30","51.50","-0.40","8,784",
"110/07/15","11,938,157","615,005,211","51.50","51.80","51.30","51.60","+0.10","5,094",
"110/07/16","12,188,101","627,236,112","51.50","51.60","51.30","51.50","-0.10","5,958",
"110/07/19","11,286,149","583,396,825","51.40","52.00","51.30","52.00","+0.50","4,773",
"110/07/20","10,145,510","523,710,103","51.60","51.80","51.40","51.70","-0.30","4,446",
"110/07/21","24,843,451","1,291,868,626","52.00","52.40","51.70","51.80","+0.10","10,518",
"110/07/22","16,553,240","861,904,218","52.30","52.30","51.90","52.10","+0.30","7,073",
"110/07/23","34,420,099","1,813,726,922","52.30","53.10","52.20","53.00","+0.90","13,742",
"110/07/26","24,737,557","1,320,028,119","53.40","53.80","53.00","53.20","+0.20","10,862",
"110/07/27","18,654,939","986,141,697","53.30","53.30","52.60","53.00","-0.20","8,187",
"110/07/28","36,454,371","1,908,346,074","52.80","53.00","52.00","52.40","-0.60","13,822",
"110/07/29","18,957,983","995,989,067","52.50","52.90","52.10","52.90","+0.50","7,236",
"110/07/30","12,473,682","657,537,327","52.90","52.90","52.50","52.60","-0.30","5,158",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

