"110年07月 1216 統一             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/07/01","2,903,461","211,623,084","73.20","73.50","72.70","72.70","-0.50","1,733",
"110/07/02","3,468,341","253,690,963","72.80","73.70","72.50","73.40","+0.70","1,724",
"110/07/05","4,722,610","348,091,993","73.50","73.90","73.00","73.90","+0.50","2,027",
"110/07/06","2,945,856","217,544,344","73.90","74.10","73.50","73.80","-0.10","1,438",
"110/07/07","2,587,489","190,672,212","73.20","73.90","73.20","73.90","+0.10","1,377",
"110/07/08","4,358,288","322,271,971","73.80","74.20","73.50","74.10","+0.20","2,254",
"110/07/09","7,310,267","534,756,708","73.50","74.10","72.60","73.80","-0.30","4,309",
"110/07/12","4,389,396","321,180,514","73.40","73.80","72.80","72.90","-0.90","2,576",
"110/07/13","6,009,008","442,161,040","73.50","73.90","73.10","73.90","+1.00","2,905",
"110/07/14","4,610,200","337,384,565","73.50","73.80","72.80","73.20","-0.70","2,321",
"110/07/15","3,214,280","234,974,002","72.80","73.40","72.80","73.40","+0.20","1,507",
"110/07/16","3,682,026","269,175,630","72.90","73.50","72.80","73.10","-0.30","2,164",
"110/07/19","4,703,322","341,934,138","72.60","73.30","72.40","73.20","+0.10","2,528",
"110/07/20","2,623,706","190,501,550","73.00","73.20","72.30","72.50","-0.70","1,821",
"110/07/21","3,322,346","240,903,803","72.30","72.80","72.20","72.70","+0.20","2,293",
"110/07/22","5,210,834","381,941,287","72.80","73.50","72.70","73.50","+0.80","2,509",
"110/07/23","2,550,477","186,914,934","73.50","73.60","73.00","73.20","-0.30","1,762",
"110/07/26","3,015,714","219,315,065","72.60","73.20","72.50","72.50","-0.70","2,032",
"110/07/27","4,650,909","339,819,105","73.00","73.30","72.60","73.30","+0.80","2,016",
"110/07/28","7,120,462","517,287,400","73.30","73.40","72.00","72.60","-0.70","4,099",
"110/07/29","5,378,447","394,557,592","72.90","73.50","72.80","73.50","+0.90","2,388",
"110/07/30","4,362,603","320,300,993","74.00","74.00","73.00","73.20","-0.30","2,237",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

