"110年06月 1301 台塑             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","3,781,676","390,421,355","103.00","104.00","102.50","103.00","-0.50","2,202",
"110/06/02","11,191,479","1,178,775,733","104.00","106.50","103.00","106.00","+3.00","5,913",
"110/06/03","6,601,619","697,533,668","106.00","106.50","105.00","106.00"," 0.00","3,071",
"110/06/04","6,562,692","693,588,193","104.50","106.50","104.50","106.00"," 0.00","2,696",
"110/06/07","6,460,332","685,960,787","106.00","107.00","105.50","106.50","+0.50","3,355",
"110/06/08","6,781,572","711,050,986","107.00","107.00","104.00","104.00","-2.50","3,225",
"110/06/09","7,130,781","736,451,054","104.00","104.50","102.50","103.00","-1.00","3,380",
"110/06/10","6,731,839","703,921,218","103.00","105.50","103.00","105.50","+2.50","2,672",
"110/06/11","2,973,202","309,590,156","105.00","105.00","103.50","103.50","-2.00","1,947",
"110/06/15","3,928,704","408,606,704","104.50","105.00","103.50","104.00","+0.50","2,321",
"110/06/16","5,415,705","564,091,556","103.00","105.00","103.00","104.50","+0.50","3,420",
"110/06/17","3,680,466","380,472,871","103.00","104.00","103.00","103.50","-1.00","2,512",
"110/06/18","13,397,548","1,362,537,957","102.50","103.00","101.00","102.00","-1.50","4,584",
"110/06/21","7,711,757","771,673,687","100.00","101.50","99.60","100.00","-2.00","3,549",
"110/06/22","7,291,379","742,198,003","101.50","103.00","100.50","102.00","+2.00","3,373",
"110/06/23","5,119,678","526,962,472","101.50","104.00","101.50","103.50","+1.50","3,321",
"110/06/24","3,053,714","313,959,017","103.50","104.00","102.00","103.00","-0.50","1,291",
"110/06/25","7,489,823","778,559,119","102.50","105.00","102.50","104.00","+1.00","3,754",
"110/06/28","5,603,970","578,866,155","104.50","105.00","102.50","103.00","-1.00","2,642",
"110/06/29","6,171,445","637,993,748","102.50","104.50","102.00","104.00","+1.00","3,159",
"110/06/30","7,765,794","803,110,570","104.00","104.50","102.50","103.00","-1.00","4,433",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

