"110年06月 1303 南亞             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","4,680,196","396,906,786","84.40","85.40","84.30","85.00","+0.60","2,482",
"110/06/02","10,211,655","884,175,334","85.20","88.00","85.10","86.60","+1.60","6,472",
"110/06/03","9,518,355","829,917,708","87.10","88.10","86.30","86.90","+0.30","5,670",
"110/06/04","4,726,452","406,598,119","85.80","87.20","85.30","86.00","-0.90","2,858",
"110/06/07","4,701,968","402,246,901","86.10","86.20","84.00","85.60","-0.40","2,838",
"110/06/08","4,316,885","367,914,309","86.80","86.80","84.70","85.00","-0.60","1,863",
"110/06/09","8,426,505","709,669,524","84.80","85.10","83.50","84.80","-0.20","3,863",
"110/06/10","5,742,600","489,375,780","85.00","85.80","84.40","85.80","+1.00","2,689",
"110/06/11","2,780,549","237,491,759","85.70","86.10","84.80","85.10","-0.70","1,440",
"110/06/15","3,739,317","317,748,107","86.00","86.10","84.50","84.80","-0.30","2,257",
"110/06/16","6,608,977","560,489,297","84.20","85.80","84.00","85.00","+0.20","4,264",
"110/06/17","3,306,059","279,156,736","84.00","84.90","83.80","84.90","-0.10","2,021",
"110/06/18","22,062,592","1,821,867,438","84.10","84.50","82.10","82.30","-2.60","7,698",
"110/06/21","11,605,229","938,208,799","81.80","82.20","80.30","81.40","-0.90","5,703",
"110/06/22","4,194,215","344,198,460","82.20","82.80","81.60","81.90","+0.50","2,275",
"110/06/23","10,866,626","892,315,335","81.90","82.90","81.50","82.80","+0.90","6,547",
"110/06/24","3,527,087","292,197,255","82.60","83.20","82.20","83.00","+0.20","2,073",
"110/06/25","5,932,604","495,127,740","83.00","84.00","83.00","83.00"," 0.00","2,575",
"110/06/28","3,692,944","308,663,471","83.70","83.90","83.00","83.30","+0.30","2,266",
"110/06/29","5,390,046","447,733,712","82.70","83.40","82.60","83.30"," 0.00","2,734",
"110/06/30","9,255,967","767,599,652","83.30","83.40","82.40","83.20","-0.10","5,323",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

