"110年06月 1326 台化             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","5,589,404","484,424,950","85.90","87.40","85.70","87.20","+1.60","2,879",
"110/06/02","9,050,583","799,754,908","87.30","89.70","87.30","88.90","+1.70","5,630",
"110/06/03","6,902,452","612,561,909","89.20","89.70","88.20","88.50","-0.40","4,054",
"110/06/04","4,079,601","357,331,112","88.00","88.20","87.20","87.70","-0.80","2,525",
"110/06/07","4,142,674","362,685,882","87.70","88.30","86.60","87.60","-0.10","1,906",
"110/06/08","3,865,171","335,789,009","87.80","87.80","86.30","86.40","-1.20","2,332",
"110/06/09","4,592,810","392,879,615","86.90","86.90","85.00","85.60","-0.80","2,592",
"110/06/10","3,848,698","330,770,570","85.40","86.60","85.20","86.60","+1.00","1,970",
"110/06/11","2,165,103","186,426,037","86.60","86.60","85.60","85.80","-0.80","1,325",
"110/06/15","3,227,431","275,541,490","86.00","86.30","85.10","85.20","-0.60","2,078",
"110/06/16","4,664,111","401,126,629","85.00","86.50","85.00","86.10","+0.90","2,845",
"110/06/17","3,810,589","324,723,016","85.00","85.70","85.00","85.30","-0.80","2,582",
"110/06/18","12,095,134","1,011,079,109","85.00","85.00","83.30","83.30","-2.00","5,143",
"110/06/21","4,893,070","403,977,670","83.00","83.70","82.00","82.80","-0.50","2,774",
"110/06/22","2,986,909","249,421,406","83.50","84.10","83.30","83.30","+0.50","1,950",
"110/06/23","5,541,011","466,050,406","83.30","84.80","83.30","84.50","+1.20","3,437",
"110/06/24","3,040,218","255,594,112","84.50","84.70","83.60","84.40","-0.10","1,619",
"110/06/25","4,259,348","361,058,525","84.40","85.60","84.00","84.60","+0.20","2,226",
"110/06/28","2,381,752","202,293,660","85.00","85.40","84.70","85.00","+0.40","1,675",
"110/06/29","3,629,336","306,292,756","84.30","84.90","84.00","84.60","-0.40","1,908",
"110/06/30","2,846,266","240,983,734","84.60","84.90","84.20","84.70","+0.10","1,671",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

