"110年05月 1402 遠東新           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","12,441,310","407,122,934","33.25","33.50","32.30","32.35","-0.90","4,002",
"110/05/04","22,777,909","732,244,069","32.65","33.45","31.10","31.70","-0.65","7,701",
"110/05/05","16,138,976","527,364,813","31.85","33.10","31.50","32.65","+0.95","5,641",
"110/05/06","22,846,852","767,449,176","32.85","34.30","32.85","33.85","+1.20","7,875",
"110/05/07","17,622,684","591,815,365","34.60","34.85","32.85","33.25","-0.60","6,253",
"110/05/10","17,980,248","609,001,252","33.20","34.25","33.20","33.90","+0.65","6,065",
"110/05/11","22,501,986","752,422,495","33.90","34.35","32.20","32.75","-1.15","9,481",
"110/05/12","33,976,408","1,051,522,871","32.75","33.00","29.50","30.65","-2.10","11,164",
"110/05/13","19,900,628","604,211,385","30.50","30.95","29.75","30.00","-0.65","5,395",
"110/05/14","15,802,736","482,863,944","30.50","31.10","30.25","30.75","+0.75","4,401",
"110/05/17","16,068,697","478,086,034","29.95","30.35","29.30","29.65","-1.10","4,737",
"110/05/18","9,848,627","301,041,467","29.65","31.00","29.65","30.80","+1.15","4,078",
"110/05/19","8,527,929","260,598,060","30.65","31.00","30.00","30.60","-0.20","2,897",
"110/05/20","9,753,123","294,635,554","30.20","30.60","30.00","30.35","-0.25","3,048",
"110/05/21","5,925,383","180,828,075","30.55","30.75","30.30","30.50","+0.15","1,965",
"110/05/24","8,836,190","268,418,567","30.15","31.30","30.10","30.55","+0.05","3,434",
"110/05/25","10,131,648","315,305,111","30.70","31.45","30.65","31.20","+0.65","3,730",
"110/05/26","5,922,005","185,139,309","31.20","31.45","30.95","31.40","+0.20","2,519",
"110/05/27","15,566,359","475,817,987","31.00","31.10","30.40","30.40","-1.00","3,613",
"110/05/28","8,855,653","276,328,316","30.70","31.40","30.65","31.25","+0.85","2,805",
"110/05/31","9,179,767","290,460,555","31.45","31.95","31.40","31.65","+0.40","2,959",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

