"110年05月 2002 中鋼             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","363,817,423","14,412,583,784","40.00","40.95","38.50","38.55","-0.75","103,461",
"110/05/04","378,682,864","13,768,515,351","38.90","39.35","34.70","36.25","-2.30","108,661",
"110/05/05","422,219,772","16,407,241,296","37.15","39.85","36.80","39.25","+3.00","128,981",
"110/05/06","607,177,007","24,779,149,968","40.20","42.00","39.05","41.00","+1.75","181,746",
"110/05/07","290,480,533","11,816,358,671","41.95","41.95","39.55","41.20","+0.20","92,594",
"110/05/10","598,969,406","26,025,770,036","41.60","45.00","40.55","45.00","+3.80","194,813",
"110/05/11","808,923,532","35,589,356,159","43.70","46.75","40.55","42.00","-3.00","273,185",
"110/05/12","722,798,697","28,374,191,752","42.55","43.75","37.80","38.35","-3.65","196,093",
"110/05/13","554,505,005","20,360,555,111","35.80","38.50","34.80","36.60","-1.75","155,223",
"110/05/14","464,334,831","16,407,107,014","37.50","37.75","33.70","34.85","-1.75","135,772",
"110/05/17","389,660,803","12,637,653,166","32.50","34.35","31.40","31.65","-3.20","102,406",
"110/05/18","123,544,505","4,248,105,582","34.00","34.80","33.60","34.80","+3.15","33,431",
"110/05/19","536,621,415","20,023,726,133","36.00","38.25","35.80","37.80","+3.00","160,506",
"110/05/20","429,600,261","15,537,025,043","36.60","37.70","34.60","35.15","-2.65","140,589",
"110/05/21","398,343,003","14,249,589,292","35.85","37.10","34.45","36.20","+1.05","116,077",
"110/05/24","241,239,189","8,602,829,094","35.40","36.50","35.10","35.50","-0.70","74,390",
"110/05/25","252,319,196","8,796,372,257","35.85","36.10","34.20","34.45","-1.05","87,450",
"110/05/26","187,570,404","6,423,555,545","34.55","34.90","33.65","34.85","+0.40","60,609",
"110/05/27","204,422,182","7,151,020,089","35.00","35.60","34.50","34.60","-0.25","57,518",
"110/05/28","396,917,410","14,550,296,425","36.00","37.35","35.70","36.55","+1.95","122,714",
"110/05/31","424,576,169","16,121,972,370","37.70","39.10","36.45","36.95","+0.40","141,839",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

