"110年05月 2207 和泰車           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","311,658","184,750,664","598.00","602.00","587.00","592.00","-12.00","508",
"110/05/04","460,753","272,564,700","599.00","600.00","585.00","587.00","-5.00","494",
"110/05/05","233,143","136,729,250","585.00","590.00","583.00","584.00","-3.00","320",
"110/05/06","377,581","218,223,039","581.00","590.00","578.00","590.00","+6.00","482",
"110/05/07","161,237","95,823,492","590.00","598.00","586.00","597.00","+7.00","201",
"110/05/10","309,244","186,861,346","602.00","608.00","599.00","604.00","+7.00","395",
"110/05/11","334,542","195,891,438","595.00","599.00","579.00","582.00","-22.00","541",
"110/05/12","713,834","400,363,078","579.00","592.00","526.00","542.00","-40.00","1,052",
"110/05/13","708,913","380,197,162","555.00","555.00","529.00","529.00","-13.00","1,102",
"110/05/14","297,092","159,123,437","531.00","540.00","530.00","537.00","+8.00","454",
"110/05/17","388,359","203,014,042","525.00","539.00","515.00","518.00","-19.00","622",
"110/05/18","385,436","206,276,908","521.00","543.00","521.00","543.00","+25.00","508",
"110/05/19","344,799","183,089,933","532.00","538.00","528.00","528.00","-15.00","568",
"110/05/20","347,070","183,884,533","525.00","534.00","522.00","534.00","+6.00","328",
"110/05/21","197,678","106,789,601","536.00","546.00","535.00","539.00","+5.00","326",
"110/05/24","119,619","63,811,867","530.00","535.00","530.00","535.00","-4.00","201",
"110/05/25","523,216","291,110,175","535.00","578.00","535.00","560.00","+25.00","671",
"110/05/26","159,732","89,087,152","571.00","571.00","552.00","556.00","-4.00","286",
"110/05/27","792,417","430,512,855","547.00","559.00","538.00","544.00","-12.00","644",
"110/05/28","431,257","241,411,961","554.00","565.00","550.00","564.00","+20.00","526",
"110/05/31","187,464","106,098,542","564.00","573.00","557.00","570.00","+6.00","280",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

