"110年07月 2303 聯電             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/07/01","93,298,609","4,902,640,069","53.30","53.40","52.10","52.10","-1.00","36,656",
"110/07/02","65,761,082","3,450,983,036","52.10","52.90","52.10","52.60","+0.50","23,664",
"110/07/05","261,523,816","14,196,826,551","53.00","55.20","52.80","54.40","+1.80","92,754",
"110/07/06","144,822,076","7,806,135,651","54.90","55.20","53.30","53.40","-1.00","54,709",
"110/07/07","105,991,674","5,683,197,870","53.30","54.10","53.10","53.60","+0.20","35,870",
"110/07/08","96,052,368","5,131,650,310","53.90","54.10","53.00","53.10","-0.50","38,079",
"110/07/09","111,351,648","5,818,685,837","52.50","52.80","51.90","52.20","-0.90","44,502",
"110/07/12","149,279,243","7,997,761,164","53.60","54.30","52.90","53.20","+1.00","44,042",
"110/07/13","261,975,318","14,289,962,416","53.90","55.20","53.60","53.90","+0.70","92,754",
"110/07/14","119,847,041","6,514,482,642","54.80","55.00","53.60","54.00","+0.10","41,162",
"110/07/15","182,155,940","10,006,659,181","54.40","55.30","54.20","55.10","+1.10","56,284",
"110/07/16","254,836,284","13,644,558,607","53.50","54.20","53.00","53.70","-1.40","81,970",
"110/07/19","142,678,384","7,534,630,142","53.40","53.40","52.50","52.60","-1.10","50,529",
"110/07/20","111,149,026","5,832,518,586","52.30","53.10","52.10","52.40","-0.20","41,707",
"110/07/21","201,374,400","10,355,744,297","53.00","53.10","50.20","50.80","-1.60","78,205",
"110/07/22","233,371,650","12,120,562,781","51.10","52.80","50.80","52.00","X0.00","66,632",
"110/07/23","208,158,788","11,110,269,848","53.00","54.10","52.70","52.70","+0.70","68,362",
"110/07/26","137,792,338","7,429,437,189","54.00","54.40","53.60","53.70","+1.00","42,572",
"110/07/27","118,561,484","6,355,294,561","54.20","54.30","53.10","53.10","-0.60","35,962",
"110/07/28","199,999,316","10,261,061,610","52.40","52.60","50.50","51.80","-1.30","68,871",
"110/07/29","437,075,578","23,760,926,840","53.90","55.00","53.30","54.60","+2.80","132,593",
"110/07/30","690,359,467","39,827,899,349","55.80","59.90","55.80","57.80","+3.20","241,096",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

