"110年07月 2308 台達電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/07/01","4,839,822","1,455,398,664","303.00","305.00","297.00","297.50","-5.50","3,919",
"110/07/02","6,557,769","1,976,935,519","301.00","305.00","298.50","299.00","+1.50","4,834",
"110/07/05","4,097,452","1,242,598,963","302.50","305.00","301.50","304.00","+5.00","3,732",
"110/07/06","2,540,622","770,131,078","305.00","305.00","301.50","303.50","-0.50","2,527",
"110/07/07","3,140,096","951,570,318","303.50","304.50","301.50","303.50"," 0.00","2,511",
"110/07/08","4,249,272","1,276,186,055","304.00","305.00","297.00","301.50","-2.00","3,364",
"110/07/09","5,371,517","1,586,934,068","297.50","298.50","294.00","295.00","-6.50","4,658",
"110/07/12","2,918,975","872,164,357","299.50","300.00","296.00","299.50","+4.50","2,746",
"110/07/13","13,784,897","4,224,145,246","303.00","312.00","301.00","307.00","+7.50","10,870",
"110/07/14","18,333,773","5,820,461,990","305.50","324.00","305.50","323.00","+16.00","17,860",
"110/07/15","18,427,032","5,979,621,328","327.00","335.00","317.00","320.50","-2.50","14,640",
"110/07/16","6,886,882","2,199,356,447","321.50","325.00","314.50","319.50","-1.00","5,264",
"110/07/19","12,523,907","3,841,411,047","316.00","317.50","302.00","308.00","-11.50","11,612",
"110/07/20","6,305,716","1,895,485,855","302.00","305.50","298.00","300.00","X0.00","6,615",
"110/07/21","5,257,386","1,594,206,158","303.00","306.00","300.50","306.00","+6.00","4,340",
"110/07/22","5,965,198","1,830,092,445","308.50","312.50","301.50","303.00","-3.00","4,604",
"110/07/23","3,029,137","926,013,500","305.00","309.00","303.50","304.00","+1.00","2,502",
"110/07/26","4,350,614","1,307,295,703","305.00","307.50","298.50","299.00","-5.00","4,177",
"110/07/27","6,995,475","2,058,779,356","300.00","300.50","291.00","292.00","-7.00","7,732",
"110/07/28","6,208,570","1,801,806,138","287.00","294.50","287.00","292.00"," 0.00","5,892",
"110/07/29","6,686,491","1,949,963,573","296.00","296.50","290.00","291.50","-0.50","4,875",
"110/07/30","7,259,229","2,086,862,318","286.50","291.00","285.00","287.00","-4.50","6,896",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

