"110年07月 2327 國巨             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/07/01","11,013,703","6,229,682,016","573.00","578.00","556.00","557.00","X0.00","11,146",
"110/07/02","4,274,819","2,367,941,193","560.00","561.00","545.00","556.00","-1.00","4,900",
"110/07/05","7,649,064","4,363,602,007","567.00","575.00","564.00","571.00","+15.00","7,904",
"110/07/06","13,287,003","7,821,063,948","579.00","599.00","578.00","597.00","+26.00","14,566",
"110/07/07","13,783,192","8,347,286,316","597.00","615.00","594.00","603.00","+6.00","14,684",
"110/07/08","7,808,490","4,666,094,807","605.00","610.00","588.00","590.00","-13.00","8,813",
"110/07/09","4,900,184","2,875,463,914","583.00","595.00","581.00","584.00","-6.00","5,942",
"110/07/12","3,816,112","2,249,709,841","594.00","596.00","585.00","586.00","+2.00","4,051",
"110/07/13","4,193,971","2,471,442,578","595.00","598.00","580.00","581.00","-5.00","4,805",
"110/07/14","3,227,097","1,879,124,931","587.00","588.00","576.00","583.00","+2.00","3,850",
"110/07/15","3,829,502","2,248,241,365","587.00","595.00","582.00","586.00","+3.00","3,845",
"110/07/16","3,187,440","1,843,681,038","579.00","582.00","575.00","578.00","-8.00","4,211",
"110/07/19","5,098,299","2,938,259,049","575.00","587.00","566.00","583.00","+5.00","5,722",
"110/07/20","4,357,647","2,487,141,638","578.00","580.00","565.00","568.00","-15.00","5,490",
"110/07/21","8,080,588","4,706,037,985","578.00","592.00","572.00","588.00","+20.00","8,300",
"110/07/22","7,087,325","4,232,823,802","598.00","604.00","591.00","591.00","+3.00","7,775",
"110/07/23","4,107,660","2,440,977,899","594.00","603.00","586.00","589.00","-2.00","4,396",
"110/07/26","7,524,346","4,458,291,251","595.00","600.00","580.00","600.00","+11.00","6,780",
"110/07/27","9,640,102","5,698,810,349","601.00","605.00","581.00","581.00","-19.00","9,561",
"110/07/28","7,246,457","4,124,712,070","580.00","590.00","555.00","565.00","-16.00","8,315",
"110/07/29","2,755,264","1,568,934,048","574.00","575.00","563.00","571.00","+6.00","3,153",
"110/07/30","4,375,186","2,476,179,781","568.00","575.00","560.00","560.00","-11.00","5,247",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

