"110年06月 2357 華碩             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","3,207,839","1,280,738,442","399.00","403.00","395.00","403.00","+8.00","3,532",
"110/06/02","4,243,388","1,682,161,560","404.00","404.50","391.50","393.50","-9.50","4,274",
"110/06/03","3,440,477","1,346,407,694","393.00","395.00","389.50","392.00","-1.50","3,555",
"110/06/04","1,634,816","636,909,608","390.00","390.00","388.50","390.00","-2.00","1,806",
"110/06/07","3,046,314","1,175,641,577","389.00","390.00","380.50","388.00","-2.00","3,370",
"110/06/08","2,382,947","926,279,579","390.00","390.00","386.00","390.00","+2.00","2,354",
"110/06/09","3,713,502","1,437,290,553","390.00","390.50","385.00","386.00","-4.00","3,504",
"110/06/10","4,125,457","1,596,251,088","389.50","390.00","385.50","385.50","-0.50","3,372",
"110/06/11","3,777,359","1,449,498,142","385.50","388.00","382.00","383.00","-2.50","3,738",
"110/06/15","2,732,942","1,045,652,414","384.00","385.00","381.00","383.50","+0.50","2,617",
"110/06/16","3,911,292","1,516,564,031","384.50","390.50","384.50","388.00","+4.50","3,666",
"110/06/17","1,931,899","746,156,223","385.00","388.00","384.00","388.00"," 0.00","2,045",
"110/06/18","4,331,962","1,671,187,042","388.50","389.00","385.00","385.00","-3.00","2,705",
"110/06/21","3,692,679","1,419,671,089","385.00","387.50","383.00","383.00","-2.00","2,907",
"110/06/22","7,122,960","2,701,788,431","383.00","388.00","375.00","375.00","-8.00","7,394",
"110/06/23","6,027,232","2,250,796,852","375.00","376.50","370.50","374.00","-1.00","6,005",
"110/06/24","2,773,343","1,038,800,063","375.00","377.00","372.00","373.50","-0.50","2,546",
"110/06/25","7,508,970","2,782,809,912","375.00","375.00","367.00","367.00","-6.50","8,168",
"110/06/28","3,833,847","1,417,633,777","368.50","374.00","365.00","372.50","+5.50","3,864",
"110/06/29","2,055,985","763,606,976","373.00","374.00","370.00","370.00","-2.50","2,371",
"110/06/30","2,816,626","1,048,580,801","371.50","375.00","370.00","371.50","+1.50","2,224",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

