"110年07月 2379 瑞昱             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/07/01","2,415,993","1,199,152,287","514.00","514.00","492.00","492.50","-12.50","2,544",
"110/07/02","1,735,470","869,221,405","489.00","508.00","489.00","505.00","+12.50","1,790",
"110/07/05","2,249,766","1,165,521,194","509.00","522.00","508.00","521.00","+16.00","2,615",
"110/07/06","992,697","514,378,326","524.00","524.00","515.00","516.00","-5.00","1,281",
"110/07/07","2,208,011","1,154,875,531","517.00","527.00","512.00","523.00","+7.00","2,576",
"110/07/08","2,100,603","1,102,972,658","522.00","530.00","517.00","524.00","+1.00","2,187",
"110/07/09","1,633,844","842,308,234","520.00","524.00","508.00","515.00","-9.00","1,617",
"110/07/12","1,126,223","586,061,591","517.00","524.00","517.00","520.00","+5.00","1,076",
"110/07/13","2,547,422","1,336,420,397","520.00","530.00","517.00","522.00","+2.00","2,297",
"110/07/14","1,140,062","592,837,526","517.00","524.00","517.00","521.00","-1.00","1,048",
"110/07/15","2,856,264","1,528,769,484","523.00","540.00","522.00","538.00","+17.00","3,219",
"110/07/16","1,728,973","932,880,877","532.00","545.00","529.00","545.00","+7.00","1,887",
"110/07/19","3,813,035","2,120,304,623","539.00","565.00","535.00","560.00","+15.00","4,110",
"110/07/20","2,204,266","1,225,452,964","556.00","565.00","548.00","552.00","-8.00","2,199",
"110/07/21","3,290,740","1,883,336,975","560.00","586.00","558.00","569.00","+17.00","3,355",
"110/07/22","3,040,457","1,734,836,991","570.00","581.00","563.00","569.00"," 0.00","2,548",
"110/07/23","3,313,593","1,881,131,342","577.00","577.00","558.00","560.00","-9.00","2,954",
"110/07/26","4,325,100","2,488,691,581","588.00","588.00","563.00","567.00","+7.00","3,951",
"110/07/27","8,166,744","4,963,478,133","585.00","621.00","583.00","613.00","+46.00","7,270",
"110/07/28","4,819,279","2,826,886,638","597.00","599.00","575.00","587.00","-26.00","5,113",
"110/07/29","4,422,176","2,612,498,753","598.00","605.00","572.00","599.00","+12.00","4,152",
"110/07/30","3,368,622","1,996,034,335","594.00","603.00","587.00","588.00","-11.00","2,579",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

