"110年05月 2382 廣達             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","11,342,742","1,097,789,826","97.10","98.00","96.20","96.20","-2.20","4,055",
"110/05/04","12,358,292","1,169,852,079","96.20","96.20","93.40","94.30","-1.90","6,489",
"110/05/05","7,757,239","731,279,841","93.80","94.90","93.70","94.10","-0.20","4,390",
"110/05/06","13,935,757","1,295,561,764","93.70","94.20","92.30","93.00","-1.10","7,382",
"110/05/07","10,552,187","1,000,208,790","93.00","95.40","93.00","95.40","+2.40","5,107",
"110/05/10","6,954,805","660,207,919","95.40","96.00","94.30","94.50","-0.90","3,732",
"110/05/11","12,120,406","1,113,501,556","93.00","93.40","90.60","91.50","-3.00","6,480",
"110/05/12","23,909,836","2,102,393,416","90.10","91.30","84.00","87.90","-3.60","11,788",
"110/05/13","15,607,414","1,374,081,134","87.00","89.80","85.20","88.10","+0.20","8,235",
"110/05/14","14,976,538","1,368,311,330","90.00","93.00","89.40","90.30","+2.20","9,088",
"110/05/17","16,275,691","1,434,631,727","88.40","89.50","87.00","88.30","-2.00","10,540",
"110/05/18","15,650,771","1,391,931,696","87.60","90.30","86.50","90.00","+1.70","7,282",
"110/05/19","9,828,634","883,361,717","89.60","90.90","88.90","89.50","-0.50","4,941",
"110/05/20","11,987,595","1,066,945,985","89.40","90.50","88.30","88.40","-1.10","6,938",
"110/05/21","10,779,059","960,122,353","88.70","90.80","88.40","88.80","+0.40","5,823",
"110/05/24","7,664,809","674,568,498","88.30","88.60","87.50","87.90","-0.90","4,550",
"110/05/25","11,984,689","1,056,199,556","87.90","88.60","87.80","87.90"," 0.00","5,880",
"110/05/26","14,479,032","1,262,412,139","87.80","88.10","86.50","87.20","-0.70","7,901",
"110/05/27","37,550,450","3,276,443,469","86.60","87.90","86.10","87.40","+0.20","7,339",
"110/05/28","12,941,525","1,136,305,165","86.80","88.80","86.80","87.90","+0.50","6,517",
"110/05/31","10,804,715","962,328,662","88.10","89.80","88.00","89.70","+1.80","6,277",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

