"110年07月 2408 南亞科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/07/01","20,124,043","1,581,639,173","79.90","79.90","77.50","78.00","-1.70","11,552",
"110/07/02","19,610,866","1,560,484,446","78.90","80.30","78.40","79.50","+1.50","11,036",
"110/07/05","19,840,150","1,594,126,797","80.80","81.50","79.60","80.40","+0.90","10,430",
"110/07/06","16,031,420","1,276,739,713","80.70","80.80","79.00","79.10","-1.30","8,484",
"110/07/07","16,851,820","1,342,489,350","79.50","80.40","78.80","79.50","+0.40","7,689",
"110/07/08","19,968,588","1,570,940,622","79.20","79.80","78.20","78.40","-1.10","9,475",
"110/07/09","21,199,120","1,643,352,771","77.50","78.60","76.70","78.60","+0.20","10,508",
"110/07/12","48,038,268","3,730,154,178","79.70","80.00","76.40","76.40","-2.20","24,142",
"110/07/13","49,093,548","3,825,128,975","77.00","79.20","76.60","76.90","+0.50","20,738",
"110/07/14","27,619,041","2,152,194,393","77.80","78.70","77.00","77.80","+0.90","11,461",
"110/07/15","18,985,207","1,491,195,839","78.30","79.10","78.00","78.60","+0.80","9,773",
"110/07/16","23,745,748","1,834,531,812","78.00","78.10","76.90","77.40","-1.20","12,756",
"110/07/19","23,015,912","1,744,792,657","76.10","76.60","75.50","75.60","-1.80","13,778",
"110/07/20","15,293,706","1,143,575,569","75.00","75.50","74.50","74.50","-1.10","9,131",
"110/07/21","38,821,753","2,820,442,165","75.00","75.10","71.20","71.50","-3.00","22,457",
"110/07/22","21,961,443","1,621,068,442","72.50","74.80","72.50","73.70","+2.20","10,730",
"110/07/23","19,496,133","1,426,740,411","74.40","74.60","72.20","73.40","-0.30","9,084",
"110/07/26","11,002,252","809,902,190","73.70","74.20","73.00","73.50","+0.10","5,074",
"110/07/27","18,220,622","1,348,754,536","73.90","74.50","73.00","73.30","-0.20","6,817",
"110/07/28","14,747,835","1,057,717,985","72.50","72.90","70.60","72.20","-1.10","7,737",
"110/07/29","9,460,927","683,809,662","72.90","73.20","72.00","72.00","-0.20","4,882",
"110/07/30","12,702,534","919,703,776","72.60","73.00","72.00","72.30","+0.30","5,334",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

