"110年07月 2454 聯發科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/07/01","5,621,060","5,387,345,203","971.00","976.00","948.00","955.00","-7.00","7,519",
"110/07/02","4,790,985","4,592,233,661","963.00","964.00","953.00","957.00","+2.00","5,146",
"110/07/05","7,532,324","7,253,624,843","960.00","975.00","957.00","957.00"," 0.00","9,256",
"110/07/06","7,187,618","6,676,788,826","937.00","940.00","920.00","922.00","X0.00","14,620",
"110/07/07","5,379,862","4,952,152,805","926.00","928.00","917.00","917.00","-5.00","10,297",
"110/07/08","6,530,700","6,014,637,645","920.00","929.00","914.00","920.00","+3.00","6,436",
"110/07/09","5,186,052","4,771,071,467","915.00","929.00","911.00","919.00","-1.00","6,165",
"110/07/12","5,706,017","5,346,107,568","940.00","941.00","930.00","935.00","+16.00","6,153",
"110/07/13","7,219,531","6,738,427,622","940.00","944.00","926.00","926.00","-9.00","8,066",
"110/07/14","3,410,706","3,173,452,902","929.00","938.00","925.00","930.00","+4.00","4,476",
"110/07/15","7,490,469","7,081,346,164","935.00","952.00","930.00","951.00","+21.00","8,262",
"110/07/16","6,055,983","5,759,854,226","948.00","960.00","941.00","957.00","+6.00","6,788",
"110/07/19","7,197,515","6,661,594,919","941.00","945.00","915.00","919.00","-38.00","13,264",
"110/07/20","3,177,142","2,924,310,492","917.00","928.00","915.00","920.00","+1.00","5,347",
"110/07/21","5,054,585","4,617,028,966","926.00","931.00","906.00","912.00","-8.00","8,650",
"110/07/22","4,257,367","3,924,562,982","915.00","931.00","915.00","919.00","+7.00","5,162",
"110/07/23","4,544,769","4,224,700,764","932.00","934.00","924.00","933.00","+14.00","4,790",
"110/07/26","5,040,016","4,673,380,933","940.00","940.00","920.00","923.00","-10.00","4,825",
"110/07/27","8,669,067","8,141,558,032","928.00","948.00","924.00","938.00","+15.00","8,987",
"110/07/28","17,046,717","15,308,710,868","931.00","932.00","887.00","890.00","-48.00","28,720",
"110/07/29","10,421,629","9,571,909,485","915.00","935.00","903.00","933.00","+43.00","10,860",
"110/07/30","6,139,039","5,629,687,066","935.00","937.00","907.00","910.00","-23.00","8,663",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

