"110年05月 2609 陽明             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","317,654,743","27,556,327,891","86.10","87.70","83.80","87.70","+7.90","96,172",
"110/05/04","797,676,562","68,110,707,914","87.00","92.40","79.00","80.00","-7.70","296,950",
"110/05/05","512,337,017","42,655,306,679","81.70","87.40","75.50","87.00","+7.00","189,778",
"110/05/06","478,298,147","41,568,801,547","89.90","91.30","82.10","84.30","-2.70","182,097",
"110/05/07","481,188,280","42,105,162,886","88.40","91.50","83.70","91.50","+7.20","176,332",
"110/05/10","445,425,315","43,375,501,242","91.60","100.50","90.20","100.50","+9.00","175,505",
"110/05/11","544,098,491","54,414,080,817","98.00","105.50","91.30","97.60","-2.90","221,014",
"110/05/12","363,996,329","33,422,302,396","95.00","98.30","87.90","87.90","-9.70","144,698",
"110/05/13","574,319,285","46,703,260,460","79.20","88.50","79.20","79.20","-8.70","198,782",
"110/05/14","647,739,529","49,155,207,697","82.50","83.80","71.30","74.00","-5.20","226,658",
"110/05/17","569,893,393","39,787,756,830","69.90","74.30","66.60","66.60","-7.40","182,304",
"110/05/18","276,730,144","19,891,632,374","70.50","73.20","68.60","73.20","+6.60","81,806",
"110/05/19","375,849,670","29,581,498,440","76.90","80.50","76.00","80.50","+7.30","127,058",
"110/05/20","719,139,581","60,302,129,629","81.00","87.30","79.10","83.50","+3.00","269,327",
"110/05/21","525,852,293","46,931,658,114","87.00","91.80","86.90","91.80","+8.30","191,761",
"110/05/24","636,015,199","60,594,689,803","92.00","99.30","89.30","93.10","+1.30","261,799",
"110/05/25","592,190,809","53,892,304,561","96.90","98.20","84.00","91.00","-2.10","245,905",
"110/05/26","719,247,087","67,945,718,351","92.80","99.40","87.10","98.80","+7.80","275,645",
"110/05/27","756,487,769","77,476,567,956","100.00","105.50","99.30","103.00","+4.20","240,429",
"110/05/28","488,929,003","52,308,458,041","105.50","112.00","103.00","108.00","+5.00","204,797",
"110/05/31","491,276,154","53,587,498,935","110.50","115.00","102.00","102.50","-5.50","209,000",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

