"110年06月 2801 彰銀             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","5,731,707","96,452,243","16.90","16.90","16.75","16.85"," 0.00","1,537",
"110/06/02","9,557,489","161,449,775","16.90","16.95","16.85","16.90","+0.05","3,099",
"110/06/03","6,132,184","104,033,616","17.00","17.05","16.90","16.95","+0.05","1,498",
"110/06/04","15,869,293","266,761,182","16.85","16.90","16.75","16.90","-0.05","2,871",
"110/06/07","18,704,455","313,350,664","16.80","16.90","16.65","16.70","-0.20","2,076",
"110/06/08","10,762,737","180,008,065","16.85","16.85","16.70","16.75","+0.05","1,623",
"110/06/09","8,387,759","140,618,219","16.75","16.80","16.70","16.75"," 0.00","1,813",
"110/06/10","214,045,269","3,351,709,391","16.75","16.85","16.65","16.70","-0.05","1,841",
"110/06/11","78,945,365","1,285,386,514","16.15","16.35","16.00","16.30","-0.40","9,973",
"110/06/15","25,368,604","412,141,717","16.25","16.30","16.20","16.25","-0.05","6,404",
"110/06/16","36,227,481","584,548,801","16.25","16.25","16.05","16.10","-0.15","10,663",
"110/06/17","11,604,528","186,715,417","16.05","16.15","16.00","16.10"," 0.00","3,653",
"110/06/18","36,259,552","579,777,414","16.10","16.15","15.95","15.95","-0.15","7,410",
"110/06/21","14,994,741","239,687,813","15.95","16.05","15.95","15.95"," 0.00","3,607",
"110/06/22","10,684,666","171,479,149","16.05","16.15","15.95","16.05","+0.10","2,713",
"110/06/23","11,472,866","185,019,360","16.05","16.20","16.05","16.10","+0.05","3,853",
"110/06/24","6,329,820","102,108,927","16.10","16.20","16.05","16.10"," 0.00","1,657",
"110/06/25","13,883,604","224,040,851","16.15","16.20","16.10","16.10"," 0.00","3,054",
"110/06/28","7,073,179","114,395,195","16.15","16.20","16.10","16.15","+0.05","2,169",
"110/06/29","7,377,127","118,971,217","16.15","16.20","16.10","16.10","-0.05","2,710",
"110/06/30","7,224,763","116,699,406","16.15","16.20","16.10","16.15","+0.05","2,253",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

