"110年07月 2880 華南金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/07/01","6,261,905","114,956,948","18.40","18.40","18.25","18.35","-0.10","2,469",
"110/07/02","6,735,246","123,523,749","18.35","18.40","18.30","18.30","-0.05","2,537",
"110/07/05","10,063,478","185,527,545","18.35","18.50","18.35","18.40","+0.10","2,605",
"110/07/06","7,675,203","142,158,518","18.45","18.60","18.40","18.60","+0.20","3,107",
"110/07/07","7,115,919","131,839,077","18.55","18.60","18.45","18.60"," 0.00","2,430",
"110/07/08","7,684,821","142,984,201","18.60","18.70","18.55","18.60"," 0.00","2,452",
"110/07/09","12,720,387","235,389,668","18.50","18.65","18.40","18.65","+0.05","3,667",
"110/07/12","19,368,626","366,450,120","18.95","19.10","18.80","18.80","+0.15","5,506",
"110/07/13","11,635,455","220,450,964","18.90","19.00","18.85","19.00","+0.20","3,796",
"110/07/14","12,662,400","240,161,111","19.00","19.05","18.90","18.95","-0.05","3,307",
"110/07/15","9,099,947","172,598,871","18.90","19.00","18.90","19.00","+0.05","4,039",
"110/07/16","12,099,044","230,550,791","18.95","19.10","18.95","19.10","+0.10","3,953",
"110/07/19","13,350,102","254,797,436","19.05","19.20","19.00","19.20","+0.10","4,156",
"110/07/20","10,938,785","208,583,675","19.10","19.15","19.00","19.05","-0.15","3,272",
"110/07/21","15,524,475","296,843,427","19.05","19.20","19.05","19.15","+0.10","5,617",
"110/07/22","20,366,596","394,918,493","19.20","19.50","19.20","19.45","+0.30","5,443",
"110/07/23","10,828,210","211,180,517","19.55","19.65","19.40","19.45"," 0.00","3,458",
"110/07/26","14,528,260","282,188,617","19.45","19.55","19.30","19.35","-0.10","4,298",
"110/07/27","8,266,962","160,048,878","19.45","19.45","19.30","19.40","+0.05","2,456",
"110/07/28","10,376,353","199,861,748","19.35","19.40","19.15","19.35","-0.05","3,839",
"110/07/29","7,689,823","149,077,790","19.30","19.45","19.30","19.45","+0.10","2,413",
"110/07/30","13,016,285","251,641,511","19.35","19.45","19.30","19.30","-0.15","2,360",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

