"110年07月 2881 富邦金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/07/01","13,667,841","1,006,015,510","74.00","74.10","73.20","73.40","-0.50","6,320",
"110/07/02","16,074,225","1,176,472,987","73.60","73.80","72.60","72.90","-0.50","5,296",
"110/07/05","12,814,732","944,359,664","73.20","74.00","73.20","73.90","+1.00","5,872",
"110/07/06","16,566,418","1,224,819,012","74.00","74.20","73.60","73.70","-0.20","5,515",
"110/07/07","13,018,117","961,605,804","73.60","74.10","73.30","74.00","+0.30","5,192",
"110/07/08","23,078,103","1,721,021,512","74.30","75.40","74.00","74.80","+0.80","9,665",
"110/07/09","24,115,613","1,787,173,933","74.20","74.60","73.70","74.20","-0.60","8,019",
"110/07/12","68,581,016","5,304,559,113","75.70","79.40","75.70","76.10","+1.90","29,628",
"110/07/13","39,647,201","3,046,381,480","77.20","77.70","75.90","76.20","+0.10","13,652",
"110/07/14","38,851,597","3,015,749,092","76.80","78.50","76.70","78.10","+1.90","15,225",
"110/07/15","34,723,004","2,758,724,004","79.00","79.90","78.60","79.50","+1.40","14,122",
"110/07/16","61,220,667","5,001,445,174","79.40","83.30","79.10","82.90","+3.40","24,963",
"110/07/19","59,854,715","5,002,161,307","84.50","85.70","82.40","83.00","+0.10","21,831",
"110/07/20","38,387,086","3,133,038,710","81.00","82.50","81.00","81.50","-1.50","16,458",
"110/07/21","37,815,442","3,090,781,575","82.90","82.90","81.00","81.80","+0.30","15,967",
"110/07/22","45,195,581","3,770,316,616","82.30","84.40","82.00","84.10","+2.30","14,727",
"110/07/23","51,960,893","4,375,734,217","84.30","85.00","82.90","85.00","+0.90","19,561",
"110/07/26","78,260,614","6,286,251,931","82.20","82.70","78.50","78.50","X0.00","36,355",
"110/07/27","50,663,010","3,885,159,244","78.10","78.30","75.60","76.40","-2.10","22,588",
"110/07/28","35,666,515","2,677,554,139","75.70","76.40","74.30","75.60","-0.80","17,429",
"110/07/29","23,192,941","1,758,309,497","76.40","76.80","75.10","75.80","+0.20","9,469",
"110/07/30","32,887,116","2,466,552,022","75.80","76.00","74.40","75.00","-0.80","10,696",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

