"110年06月 2884 玉山金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","13,190,506","338,972,261","25.60","25.90","25.55","25.90","+0.35","5,062",
"110/06/02","18,157,799","470,880,792","25.90","26.10","25.80","26.00","+0.10","7,863",
"110/06/03","13,634,925","353,480,759","26.00","26.00","25.85","25.95","-0.05","5,133",
"110/06/04","9,682,020","250,611,712","25.85","25.95","25.80","25.95"," 0.00","3,828",
"110/06/07","10,578,787","273,239,818","25.90","25.95","25.70","25.90","-0.05","5,002",
"110/06/08","11,431,413","295,222,836","25.95","25.95","25.70","25.95","+0.05","4,864",
"110/06/09","11,417,059","294,086,769","25.85","25.90","25.70","25.70","-0.25","4,431",
"110/06/10","9,588,441","247,360,320","25.70","25.90","25.70","25.85","+0.15","3,616",
"110/06/11","10,570,561","272,829,964","25.85","25.90","25.75","25.80","-0.05","4,012",
"110/06/15","10,851,520","279,066,967","25.80","25.80","25.65","25.75","-0.05","5,139",
"110/06/16","21,972,265","564,061,107","25.65","25.75","25.60","25.60","-0.15","10,212",
"110/06/17","17,688,179","452,347,615","25.50","25.65","25.45","25.65","+0.05","5,002",
"110/06/18","33,312,565","850,505,908","25.60","25.65","25.50","25.50","-0.15","8,571",
"110/06/21","21,205,361","539,362,955","25.40","25.65","25.35","25.45","-0.05","9,362",
"110/06/22","12,706,638","323,646,192","25.55","25.60","25.40","25.40","-0.05","5,091",
"110/06/23","16,260,178","418,506,940","25.50","25.90","25.45","25.90","+0.50","6,795",
"110/06/24","11,568,933","300,004,034","25.95","26.00","25.80","25.95","+0.05","4,935",
"110/06/25","17,844,127","465,941,856","26.00","26.20","25.95","26.15","+0.20","6,558",
"110/06/28","14,154,363","371,383,809","26.20","26.30","26.20","26.25","+0.10","5,626",
"110/06/29","19,837,748","518,153,492","26.25","26.25","26.00","26.15","-0.10","7,090",
"110/06/30","17,606,833","462,146,256","26.15","26.30","26.10","26.30","+0.15","5,584",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

