"110年05月 2891 中信金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","50,881,840","1,152,349,381","22.70","22.80","22.50","22.75","-0.05","11,098",
"110/05/04","61,855,968","1,388,202,186","22.80","22.85","22.10","22.35","-0.40","14,291",
"110/05/05","39,757,697","893,531,910","22.35","22.70","22.25","22.50","+0.15","7,345",
"110/05/06","55,480,843","1,264,948,797","22.60","23.05","22.50","23.00","+0.50","10,874",
"110/05/07","35,312,903","813,728,700","23.05","23.15","22.95","23.10","+0.10","9,965",
"110/05/10","98,965,337","2,334,439,098","23.15","24.00","23.10","23.95","+0.85","26,222",
"110/05/11","109,916,201","2,607,700,517","23.90","24.05","23.25","23.65","-0.30","26,870",
"110/05/12","168,690,949","3,804,171,671","23.65","23.85","21.35","22.35","-1.30","35,797",
"110/05/13","76,268,345","1,688,267,479","21.95","22.65","21.60","22.05","-0.30","17,738",
"110/05/14","49,081,484","1,081,940,918","22.05","22.35","21.90","22.00","-0.05","10,883",
"110/05/17","66,172,291","1,414,831,651","21.15","21.85","21.10","21.55","-0.45","17,838",
"110/05/18","49,177,105","1,094,944,337","21.65","22.50","21.60","22.50","+0.95","12,792",
"110/05/19","38,307,509","856,199,194","22.35","22.65","22.10","22.25","-0.25","9,635",
"110/05/20","51,003,593","1,135,167,959","22.30","22.40","22.05","22.30","+0.05","9,693",
"110/05/21","70,783,943","1,610,811,900","22.65","23.30","22.40","22.60","+0.30","13,191",
"110/05/24","31,643,309","707,754,877","22.25","22.60","22.20","22.50","-0.10","6,903",
"110/05/25","66,633,514","1,531,592,351","22.55","23.20","22.50","22.85","+0.35","13,660",
"110/05/26","22,033,638","505,458,595","23.00","23.10","22.85","23.00","+0.15","6,500",
"110/05/27","112,442,107","2,523,903,147","22.80","22.85","22.40","22.40","-0.60","13,249",
"110/05/28","56,113,211","1,284,813,314","22.65","23.05","22.50","23.00","+0.60","11,923",
"110/05/31","32,533,979","750,676,195","22.95","23.20","22.90","23.05","+0.05","9,487",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

