"110年05月 2892 第一金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","37,568,795","840,531,920","22.50","22.60","22.10","22.40","-0.50","12,040",
"110/05/04","31,120,420","693,890,879","22.40","22.60","22.05","22.25","-0.15","8,443",
"110/05/05","12,613,647","280,457,915","22.25","22.35","22.10","22.20","-0.05","4,658",
"110/05/06","18,216,411","399,156,410","22.20","22.50","22.20","22.35","+0.15","4,691",
"110/05/07","11,749,106","263,696,951","22.35","22.50","22.35","22.50","+0.15","4,810",
"110/05/10","18,468,002","419,500,070","22.65","22.80","22.50","22.80","+0.30","5,484",
"110/05/11","22,431,547","504,631,888","22.80","22.80","22.25","22.40","-0.40","8,336",
"110/05/12","65,220,181","1,415,096,418","22.20","22.60","20.60","21.50","-0.90","19,488",
"110/05/13","32,379,419","693,997,967","21.30","21.70","21.05","21.45","-0.05","8,914",
"110/05/14","21,203,622","458,091,262","21.45","21.75","21.40","21.70","+0.25","5,803",
"110/05/17","32,144,804","680,284,459","21.00","21.40","20.95","21.10","-0.60","10,615",
"110/05/18","15,351,292","330,936,249","21.20","21.85","21.20","21.65","+0.55","4,363",
"110/05/19","13,239,801","286,179,898","21.55","21.70","21.40","21.65"," 0.00","3,930",
"110/05/20","15,953,584","343,314,808","21.50","21.65","21.40","21.55","-0.10","3,811",
"110/05/21","11,747,277","255,301,774","21.70","22.00","21.60","21.65","+0.10","3,586",
"110/05/24","9,977,003","214,519,866","21.40","21.60","21.35","21.50","-0.15","3,777",
"110/05/25","12,455,549","270,024,451","21.45","21.80","21.45","21.75","+0.25","3,320",
"110/05/26","10,151,292","221,025,160","21.75","21.90","21.70","21.80","+0.05","3,507",
"110/05/27","36,208,704","784,804,340","21.65","21.75","21.55","21.70","-0.10","4,388",
"110/05/28","12,403,894","270,322,268","21.80","21.85","21.70","21.85","+0.15","3,880",
"110/05/31","12,569,081","276,223,358","21.90","22.10","21.85","22.00","+0.15","4,379",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

