"110年05月 2912 統一超           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","1,126,741","304,895,270","270.00","272.00","270.00","271.00"," 0.00","1,317",
"110/05/04","1,491,792","402,521,050","272.00","273.00","268.00","268.50","-2.50","1,907",
"110/05/05","1,066,237","286,193,576","270.00","270.50","267.00","267.50","-1.00","1,321",
"110/05/06","1,004,900","266,987,323","268.00","270.00","267.00","268.50","+1.00","936",
"110/05/07","1,533,830","415,609,821","268.50","272.50","268.50","271.00","+2.50","708",
"110/05/10","509,052","138,264,356","271.50","272.00","271.00","272.00","+1.00","691",
"110/05/11","1,307,486","352,561,259","272.00","272.00","268.00","269.50","-2.50","1,587",
"110/05/12","3,592,908","941,931,428","268.50","272.00","253.50","260.50","-9.00","4,473",
"110/05/13","1,669,588","439,281,665","262.50","265.50","259.00","264.50","+4.00","1,780",
"110/05/14","1,894,915","510,281,934","264.50","272.00","264.00","271.50","+7.00","1,600",
"110/05/17","4,760,116","1,284,392,721","270.50","277.00","266.50","267.00","-4.50","2,828",
"110/05/18","1,961,585","533,050,422","268.00","275.00","267.50","272.00","+5.00","1,639",
"110/05/19","1,308,854","355,333,048","268.50","273.00","267.50","272.00"," 0.00","1,116",
"110/05/20","2,675,933","719,361,407","268.50","271.00","267.00","268.50","-3.50","1,480",
"110/05/21","1,573,974","423,666,542","269.50","273.00","267.00","268.00","-0.50","1,261",
"110/05/24","1,498,064","397,024,284","268.00","269.00","264.00","264.50","-3.50","2,199",
"110/05/25","4,175,584","1,087,259,138","263.00","264.50","261.00","264.50"," 0.00","3,141",
"110/05/26","2,409,199","630,560,654","262.50","263.50","261.00","261.50","-3.00","2,618",
"110/05/27","4,582,798","1,190,507,269","261.50","262.00","259.00","259.00","-2.50","3,107",
"110/05/28","2,231,678","585,212,855","261.00","263.50","260.50","262.00","+3.00","2,159",
"110/05/31","2,078,285","549,456,981","263.50","266.00","263.00","264.50","+2.50","1,930",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

