"110年07月 3008 大立光           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/07/01","284,267","887,188,630","3,130.00","3,160.00","3,095.00","3,105.00","+5.00","1,559",
"110/07/02","174,345","543,707,960","3,135.00","3,140.00","3,100.00","3,105.00"," 0.00","990",
"110/07/05","260,068","809,725,920","3,135.00","3,135.00","3,075.00","3,130.00","+25.00","1,281",
"110/07/06","583,880","1,838,114,885","3,195.00","3,230.00","3,100.00","3,100.00","-30.00","2,082",
"110/07/07","278,208","860,641,305","3,130.00","3,130.00","3,065.00","3,065.00","-35.00","1,513",
"110/07/08","416,514","1,301,661,205","3,115.00","3,150.00","3,080.00","3,150.00","+85.00","1,787",
"110/07/09","1,159,166","3,473,230,225","3,050.00","3,050.00","2,955.00","2,990.00","-160.00","4,981",
"110/07/12","475,953","1,418,373,450","3,005.00","3,020.00","2,950.00","2,950.00","-40.00","4,794",
"110/07/13","393,481","1,174,722,180","2,985.00","3,010.00","2,955.00","2,965.00","+15.00","1,785",
"110/07/14","219,691","662,591,405","2,970.00","3,035.00","2,970.00","3,020.00","+55.00","959",
"110/07/15","386,570","1,180,526,170","3,040.00","3,080.00","3,010.00","3,040.00","+20.00","1,656",
"110/07/16","266,583","818,992,255","3,045.00","3,100.00","3,020.00","3,070.00","+30.00","1,618",
"110/07/19","194,230","593,015,350","3,085.00","3,085.00","3,035.00","3,040.00","-30.00","1,073",
"110/07/20","300,679","900,655,355","3,010.00","3,025.00","2,980.00","2,980.00","-60.00","1,954",
"110/07/21","405,951","1,212,834,230","3,020.00","3,020.00","2,965.00","2,975.00","-5.00","1,505",
"110/07/22","321,782","975,701,490","3,015.00","3,045.00","3,005.00","3,045.00","+70.00","1,281",
"110/07/23","143,253","434,734,090","3,075.00","3,075.00","3,010.00","3,020.00","-25.00","854",
"110/07/26","231,223","693,158,650","3,020.00","3,035.00","2,985.00","2,990.00","-30.00","1,059",
"110/07/27","271,506","809,811,135","3,020.00","3,020.00","2,970.00","2,970.00","-20.00","1,689",
"110/07/28","464,924","1,375,792,350","2,975.00","3,005.00","2,920.00","2,985.00","+15.00","2,737",
"110/07/29","285,308","850,272,825","2,985.00","3,010.00","2,955.00","2,970.00","-15.00","1,476",
"110/07/30","442,066","1,301,365,378","2,970.00","2,980.00","2,930.00","2,930.00","-40.00","3,184",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

