"110年07月 3034 聯詠             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/07/01","5,015,779","2,518,785,622","504.00","507.00","497.50","503.00","+4.00","4,959",
"110/07/02","5,920,847","2,934,555,716","503.00","504.00","492.00","493.50","-9.50","6,035",
"110/07/05","7,434,726","3,740,143,352","499.00","509.00","496.00","504.00","+10.50","6,362",
"110/07/06","5,313,696","2,686,624,833","506.00","513.00","500.00","500.00","-4.00","4,699",
"110/07/07","8,679,254","4,325,230,288","505.00","508.00","491.00","494.00","-6.00","9,276",
"110/07/08","6,896,942","3,481,094,699","499.50","508.00","499.00","506.00","+12.00","6,804",
"110/07/09","9,076,191","4,492,518,952","497.00","500.00","492.00","492.50","-13.50","10,850",
"110/07/12","6,062,989","3,031,074,635","502.00","503.00","497.00","500.00","+7.50","6,275",
"110/07/13","7,866,857","3,942,920,090","503.00","509.00","493.00","495.00","-5.00","8,831",
"110/07/14","7,854,269","3,864,352,516","494.00","497.00","490.00","490.50","-4.50","8,877",
"110/07/15","5,119,250","2,538,338,126","492.50","499.50","492.00","499.50","+9.00","5,075",
"110/07/16","4,939,822","2,473,782,477","497.00","506.00","494.00","499.50"," 0.00","4,792",
"110/07/19","4,557,726","2,285,411,197","499.50","505.00","494.00","503.00","+3.50","4,553",
"110/07/20","11,124,579","5,428,137,706","493.00","494.00","481.00","483.00","-20.00","15,481",
"110/07/21","8,075,425","3,907,595,498","490.00","492.50","477.00","478.50","-4.50","9,005",
"110/07/22","12,252,879","6,085,996,167","484.50","503.00","484.50","497.50","+19.00","10,709",
"110/07/23","6,982,298","3,459,406,942","502.00","506.00","489.00","489.00","-8.50","6,430",
"110/07/26","5,202,501","2,576,666,464","490.50","502.00","490.50","492.00","+3.00","4,452",
"110/07/27","20,872,413","10,854,420,152","499.00","536.00","497.00","522.00","+30.00","22,471",
"110/07/28","16,571,724","8,221,855,946","520.00","525.00","485.00","490.00","-32.00","17,069",
"110/07/29","10,737,779","5,386,886,394","497.00","512.00","492.50","503.00","+13.00","9,467",
"110/07/30","12,384,382","6,376,053,724","500.00","524.00","500.00","511.00","+8.00","12,627",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

