"110年06月 3045 台灣大           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","2,453,345","245,974,461","100.00","101.00","99.60","100.00","-0.50","1,887",
"110/06/02","2,261,286","227,639,743","100.00","101.00","99.80","101.00","+1.00","1,800",
"110/06/03","1,810,065","182,121,055","100.50","101.00","100.00","100.50","-0.50","1,196",
"110/06/04","2,582,833","260,509,866","100.50","101.50","100.00","101.00","+0.50","1,654",
"110/06/07","2,065,041","209,100,171","101.00","101.50","100.50","101.00"," 0.00","1,409",
"110/06/08","3,166,311","323,756,421","101.50","102.50","101.50","102.50","+1.50","1,921",
"110/06/09","2,185,135","224,430,586","102.50","103.00","102.00","102.50"," 0.00","1,401",
"110/06/10","2,636,290","271,785,861","102.50","103.50","102.00","103.50","+1.00","1,696",
"110/06/11","2,614,919","270,593,243","103.50","104.00","103.00","103.50"," 0.00","1,613",
"110/06/15","1,700,525","175,133,577","103.50","104.00","102.50","102.50","-1.00","1,275",
"110/06/16","2,967,527","304,907,346","102.50","103.00","102.00","102.50"," 0.00","2,194",
"110/06/17","1,276,198","130,599,893","102.50","102.50","102.00","102.50"," 0.00","739",
"110/06/18","6,622,574","671,441,874","102.00","102.50","101.00","101.00","-1.50","2,236",
"110/06/21","1,677,208","170,051,594","101.00","102.00","101.00","101.50","+0.50","1,051",
"110/06/22","2,201,265","223,679,927","101.50","102.50","101.00","101.50"," 0.00","1,075",
"110/06/23","2,949,081","301,632,901","102.00","103.00","102.00","102.00","+0.50","1,774",
"110/06/24","1,710,281","175,069,028","102.50","103.00","102.00","102.00"," 0.00","1,038",
"110/06/25","2,063,559","211,461,844","102.50","103.00","102.00","102.50","+0.50","1,228",
"110/06/28","1,344,126","137,536,725","102.50","103.00","102.00","102.00","-0.50","998",
"110/06/29","2,991,778","305,820,082","102.00","102.50","101.50","102.50","+0.50","1,972",
"110/06/30","2,142,934","218,875,184","102.50","102.50","102.00","102.00","-0.50","1,201",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

