"110年06月 3711 日月光投控       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","10,557,976","1,192,481,717","112.00","114.00","111.50","113.00","+1.50","6,405",
"110/06/02","12,761,612","1,419,815,128","113.50","114.00","109.50","111.00","-2.00","8,919",
"110/06/03","8,171,305","910,714,328","112.00","112.50","110.50","112.00","+1.00","4,296",
"110/06/04","5,524,477","612,060,452","111.00","111.50","110.00","111.00","-1.00","3,682",
"110/06/07","20,731,291","2,361,930,269","112.50","116.00","110.50","115.50","+4.50","10,934",
"110/06/08","10,271,550","1,190,461,672","116.50","117.50","115.00","115.50"," 0.00","6,581",
"110/06/09","9,963,512","1,133,466,388","115.50","115.50","113.00","114.00","-1.50","4,014",
"110/06/10","11,658,065","1,348,733,633","115.50","116.50","114.50","116.50","+2.50","5,899",
"110/06/11","30,003,825","3,559,616,671","118.00","120.00","117.00","118.50","+2.00","12,395",
"110/06/15","19,091,890","2,252,228,990","119.00","119.50","117.00","118.00","-0.50","6,605",
"110/06/16","10,860,891","1,265,599,072","117.00","118.00","115.50","115.50","-2.50","5,946",
"110/06/17","9,854,478","1,144,061,546","115.00","118.00","114.50","118.00","+2.50","5,676",
"110/06/18","10,889,750","1,274,742,752","118.00","119.00","116.50","116.50","-1.50","4,197",
"110/06/21","11,584,582","1,308,874,853","115.00","115.00","111.50","113.00","-3.50","7,230",
"110/06/22","8,063,487","911,892,897","114.50","115.00","111.50","113.00"," 0.00","4,735",
"110/06/23","10,806,231","1,241,890,248","114.00","116.00","113.50","116.00","+3.00","6,449",
"110/06/24","6,139,835","707,083,894","116.00","116.00","114.00","115.50","-0.50","2,852",
"110/06/25","11,023,950","1,289,951,569","116.50","118.00","115.50","117.50","+2.00","5,720",
"110/06/28","20,538,221","2,323,034,087","113.00","114.50","112.00","112.50","-5.00","11,901",
"110/06/29","17,706,634","1,969,548,864","112.50","113.50","109.50","113.00","+0.50","9,265",
"110/06/30","13,374,032","1,496,449,616","112.50","113.00","111.00","112.00","-1.00","5,305",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

