"110年06月 4904 遠傳             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","1,275,434","82,261,111","64.40","64.70","64.30","64.60","+0.20","765",
"110/06/02","2,527,028","163,649,523","64.60","65.00","64.40","65.00","+0.40","1,520",
"110/06/03","1,725,448","112,292,696","65.00","65.30","64.80","65.30","+0.30","998",
"110/06/04","1,561,544","101,719,478","64.70","65.50","64.70","65.50","+0.20","966",
"110/06/07","2,294,150","149,834,950","65.30","65.60","65.00","65.60","+0.10","1,381",
"110/06/08","1,784,516","116,863,236","65.80","65.80","65.20","65.50","-0.10","898",
"110/06/09","1,799,988","117,861,684","65.40","65.70","65.20","65.60","+0.10","992",
"110/06/10","2,191,065","143,435,603","65.40","65.60","65.20","65.60"," 0.00","1,060",
"110/06/11","2,153,539","141,365,074","65.50","65.80","65.40","65.60"," 0.00","1,340",
"110/06/15","2,040,624","133,682,260","65.50","65.80","65.30","65.50","-0.10","1,040",
"110/06/16","3,066,976","201,131,573","65.20","65.90","65.20","65.90","+0.40","1,955",
"110/06/17","1,161,028","75,866,232","65.30","65.50","65.20","65.40","-0.50","806",
"110/06/18","4,771,039","309,133,711","65.30","65.30","64.70","64.70","-0.70","1,375",
"110/06/21","1,963,862","126,578,953","64.70","64.80","64.10","64.60","-0.10","1,185",
"110/06/22","1,976,929","128,510,403","65.10","65.40","64.70","65.00","+0.40","1,197",
"110/06/23","2,984,999","195,307,006","65.10","65.70","65.10","65.20","+0.20","1,857",
"110/06/24","1,718,226","112,503,591","65.20","65.70","65.20","65.40","+0.20","823",
"110/06/25","2,312,249","151,187,010","65.50","65.60","65.10","65.40"," 0.00","1,016",
"110/06/28","1,156,482","75,495,369","65.40","65.50","65.10","65.10","-0.30","715",
"110/06/29","2,135,539","138,723,545","65.10","65.30","64.80","65.00","-0.10","1,303",
"110/06/30","2,036,558","131,902,027","65.00","65.00","64.60","64.60","-0.40","1,090",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

